Frame,Driver,Speed,Sector,Lap
100,BOTTAS,278,Sector 1,48 of 73
103,BOTTAS,279,Sector 1,48 of 73
106,BOTTAS,281,Sector 1,48 of 73
109,BOTTAS,282,Sector 1,48 of 73
112,BOTTAS,284,Sector 1,48 of 73
115,BOTTAS,285,Sector 1,48 of 73
118,BOTTAS,286,Sector 1,48 of 73
121,BOTTAS,286,Sector 1,48 of 73
124,BOTTAS,286,Sector 1,48 of 73
127,BOTTAS,287,Sector 1,48 of 73
130,BOTTAS,288,Sector 1,48 of 73
133,BOTTAS,289,Sector 1,48 of 73
136,BOTTAS,290,Sector 1,48 of 73
139,BOTTAS,290,Sector 1,48 of 73
142,BOTTAS,291,Sector 1,48 of 73
145,BOTTAS,291,Sector 1,48 of 73
148,BOTTAS,291,Sector 1,48 of 73
151,BOTTAS,292,Sector 1,48 of 73
154,BOTTAS,292,Sector 1,48 of 73
157,BOTTAS,292,Sector 1,48 of 73
160,BOTTAS,292,Sector 1,48 of 73
163,BOTTAS,292,Sector 1,48 of 73
166,BOTTAS,292,Sector 1,48 of 73
169,BOTTAS,292,Sector 1,48 of 73
172,BOTTAS,292,Sector 1,48 of 73
175,BOTTAS,292,Sector 1,48 of 73
178,BOTTAS,292,Sector 1,48 of 73
181,BOTTAS,293,Sector 1,48 of 73
184,BOTTAS,293,Sector 1,48 of 73
187,BOTTAS,293,Sector 1,48 of 73
190,BOTTAS,292,Sector 1,48 of 73
193,BOTTAS,292,Sector 1,48 of 73
196,BOTTAS,292,Sector 1,48 of 73
199,BOTTAS,291,Sector 1,48 of 73
202,BOTTAS,291,Sector 1,48 of 73
205,BOTTAS,290,Sector 1,48 of 73
208,BOTTAS,290,Sector 1,48 of 73
211,BOTTAS,290,Sector 1,48 of 73
214,BOTTAS,289,Sector 1,48 of 73
217,BOTTAS,289,Sector 1,48 of 73
220,BOTTAS,289,Sector 1,48 of 73
223,BOTTAS,289,Sector 1,48 of 73
226,BOTTAS,289,Sector 1,48 of 73
229,BOTTAS,285,Sector 1,48 of 73
232,BOTTAS,281,Sector 1,48 of 73
235,BOTTAS,277,Sector 1,48 of 73
238,BOTTAS,265,Sector 1,48 of 73
241,BOTTAS,255,Sector 1,48 of 73
244,BOTTAS,248,Sector 1,48 of 73
247,BOTTAS,239,Sector 1,48 of 73
250,BOTTAS,219,Sector 1,48 of 73
253,BOTTAS,214,Sector 1,48 of 73
256,BOTTAS,205,Sector 1,48 of 73
259,BOTTAS,193,Sector 1,48 of 73
262,BOTTAS,190,Sector 1,48 of 73
265,BOTTAS,178,Sector 1,48 of 73
268,BOTTAS,173,Sector 1,48 of 73
271,BOTTAS,166,Sector 1,48 of 73
274,BOTTAS,158,Sector 1,48 of 73
277,BOTTAS,156,Sector 1,48 of 73
280,BOTTAS,154,Sector 1,48 of 73
