Frame,Driver,Speed,Sector,Lap
70,RICCIARDO,281,Sector 1,25 of 73
73,RICCIARDO,281,Sector 1,25 of 73
76,RICCIARDO,282,Sector 1,25 of 73
79,RICCIARDO,283,Sector 1,25 of 73
82,RICCIARDO,284,Sector 1,25 of 73
85,RICCIARDO,286,Sector 1,25 of 73
88,RICCIARDO,287,Sector 1,25 of 73
91,RICCIARDO,288,Sector 1,25 of 73
94,RICCIARDO,289,Sector 1,25 of 73
97,RICCIARDO,289,Sector 1,25 of 73
100,RICCIARDO,290,Sector 1,25 of 73
103,RICCIARDO,290,Sector 1,25 of 73
106,RICCIARDO,291,Sector 1,25 of 73
109,RICCIARDO,291,Sector 1,25 of 73
112,RICCIARDO,291,Sector 1,25 of 73
115,RICCIARDO,292,Sector 1,25 of 73
118,RICCIARDO,292,Sector 1,25 of 73
121,RICCIARDO,292,Sector 1,25 of 73
124,RICCIARDO,293,Sector 1,25 of 73
127,RICCIARDO,293,Sector 1,25 of 73
130,RICCIARDO,294,Sector 1,25 of 73
133,RICCIARDO,294,Sector 1,25 of 73
136,RICCIARDO,294,Sector 1,25 of 73
139,RICCIARDO,294,Sector 1,25 of 73
142,RICCIARDO,294,Sector 1,25 of 73
145,RICCIARDO,294,Sector 1,25 of 73
148,RICCIARDO,294,Sector 1,25 of 73
151,RICCIARDO,294,Sector 1,25 of 73
154,RICCIARDO,295,Sector 1,25 of 73
157,RICCIARDO,295,Sector 1,25 of 73
160,RICCIARDO,295,Sector 1,25 of 73
163,RICCIARDO,295,Sector 1,25 of 73
166,RICCIARDO,295,Sector 1,25 of 73
169,RICCIARDO,295,Sector 1,25 of 73
172,RICCIARDO,294,Sector 1,25 of 73
175,RICCIARDO,294,Sector 1,25 of 73
178,RICCIARDO,294,Sector 1,25 of 73
181,RICCIARDO,294,Sector 1,25 of 73
184,RICCIARDO,294,Sector 1,25 of 73
187,RICCIARDO,292,Sector 1,25 of 73
190,RICCIARDO,289,Sector 1,25 of 73
193,RICCIARDO,287,Sector 1,25 of 73
196,RICCIARDO,286,Sector 1,25 of 73
199,RICCIARDO,283,Sector 1,25 of 73
202,RICCIARDO,283,Sector 1,25 of 73
205,RICCIARDO,273,Sector 1,25 of 73
208,RICCIARDO,268,Sector 1,25 of 73
211,RICCIARDO,260,Sector 1,25 of 73
214,RICCIARDO,239,Sector 1,25 of 73
217,RICCIARDO,212,Sector 1,25 of 73
220,RICCIARDO,206,Sector 1,25 of 73
223,RICCIARDO,198,Sector 1,25 of 73
226,RICCIARDO,189,Sector 1,25 of 73
229,RICCIARDO,187,Sector 1,25 of 73
232,RICCIARDO,177,Sector 1,25 of 73
235,RICCIARDO,171,Sector 1,25 of 73
238,RICCIARDO,165,Sector 1,25 of 73
241,RICCIARDO,153,Sector 1,25 of 73
244,RICCIARDO,150,Sector 1,25 of 73
247,RICCIARDO,149,Sector 1,25 of 73
250,RICCIARDO,143,Sector 1,25 of 73
253,RICCIARDO,139,Sector 1,25 of 73
256,RICCIARDO,136,Sector 1,25 of 73
259,RICCIARDO,132,Sector 1,25 of 73
262,RICCIARDO,130,Sector 1,25 of 73
265,RICCIARDO,128,Sector 1,25 of 73
268,RICCIARDO,127,Sector 1,25 of 73
271,RICCIARDO,126,Sector 1,25 of 73
274,RICCIARDO,123,Sector 1,25 of 73
277,RICCIARDO,122,Sector 1,25 of 73
280,RICCIARDO,120,Sector 1,25 of 73
283,RICCIARDO,120,Sector 1,25 of 73
286,RICCIARDO,120,Sector 1,25 of 73
289,RICCIARDO,120,Sector 1,25 of 73
292,RICCIARDO,121,Sector 1,25 of 73
295,RICCIARDO,122,Sector 1,25 of 73
298,RICCIARDO,123,Sector 1,25 of 73
301,RICCIARDO,124,Sector 1,25 of 73
304,RICCIARDO,125,Sector 1,25 of 73
307,RICCIARDO,128,Sector 1,25 of 73
310,RICCIARDO,129,Sector 1,25 of 73
313,RICCIARDO,131,Sector 1,25 of 73
316,RICCIARDO,136,Sector 1,25 of 73
319,RICCIARDO,138,Sector 1,25 of 73
322,RICCIARDO,142,Sector 1,25 of 73
325,RICCIARDO,147,Sector 1,25 of 73
328,RICCIARDO,150,Sector 1,25 of 73
331,RICCIARDO,158,Sector 1,25 of 73
334,RICCIARDO,162,Sector 1,25 of 73
337,RICCIARDO,167,Sector 1,25 of 73
340,RICCIARDO,169,Sector 1,25 of 73
343,RICCIARDO,173,Sector 1,25 of 73
346,RICCIARDO,175,Sector 1,25 of 73
349,RICCIARDO,179,Sector 1,25 of 73
352,RICCIARDO,182,Sector 1,25 of 73
355,RICCIARDO,183,Sector 1,25 of 73
358,RICCIARDO,185,Sector 1,25 of 73
361,RICCIARDO,189,Sector 1,25 of 73
364,RICCIARDO,192,Sector 1,25 of 73
367,RICCIARDO,197,Sector 1,25 of 73
370,RICCIARDO,201,Sector 1,25 of 73
373,RICCIARDO,202,Sector 1,25 of 73
376,RICCIARDO,205,Sector 1,25 of 73
379,RICCIARDO,206,Sector 1,25 of 73
382,RICCIARDO,210,Sector 1,25 of 73
385,RICCIARDO,216,Sector 1,25 of 73
388,RICCIARDO,220,Sector 1,25 of 73
391,RICCIARDO,224,Sector 1,25 of 73
394,RICCIARDO,226,Sector 1,25 of 73
397,RICCIARDO,228,Sector 1,25 of 73
400,RICCIARDO,230,Sector 1,25 of 73
403,RICCIARDO,232,Sector 1,25 of 73
406,RICCIARDO,234,Sector 1,25 of 73
409,RICCIARDO,237,Sector 1,25 of 73
412,RICCIARDO,240,Sector 1,25 of 73
415,RICCIARDO,242,Sector 1,25 of 73
418,RICCIARDO,244,Sector 1,25 of 73
421,RICCIARDO,246,Sector 1,25 of 73
424,RICCIARDO,247,Sector 1,25 of 73
427,RICCIARDO,249,Sector 1,25 of 73
430,RICCIARDO,250,Sector 1,25 of 73
433,RICCIARDO,251,Sector 1,25 of 73
436,RICCIARDO,255,Sector 1,25 of 73
439,RICCIARDO,257,Sector 1,25 of 73
442,RICCIARDO,258,Sector 1,25 of 73
445,RICCIARDO,259,Sector 1,25 of 73
448,RICCIARDO,260,Sector 1,25 of 73
451,RICCIARDO,262,Sector 1,25 of 73
454,RICCIARDO,266,Sector 1,25 of 73
457,RICCIARDO,267,Sector 1,25 of 73
460,RICCIARDO,268,Sector 1,25 of 73
463,RICCIARDO,269,Sector 1,25 of 73
466,RICCIARDO,270,Sector 1,25 of 73
469,RICCIARDO,273,Sector 1,25 of 73
472,RICCIARDO,273,Sector 1,25 of 73
475,RICCIARDO,275,Sector 1,25 of 73
478,RICCIARDO,276,Sector 1,25 of 73
481,RICCIARDO,276,Sector 1,25 of 73
484,RICCIARDO,277,Sector 1,25 of 73
487,RICCIARDO,278,Sector 1,25 of 73
490,RICCIARDO,279,Sector 1,25 of 73
493,RICCIARDO,280,Sector 1,25 of 73
496,RICCIARDO,282,Sector 1,25 of 73
499,RICCIARDO,282,Sector 1,25 of 73
502,RICCIARDO,284,Sector 1,25 of 73
505,RICCIARDO,285,Sector 1,25 of 73
508,RICCIARDO,285,Sector 1,25 of 73
511,RICCIARDO,287,Sector 1,25 of 73
514,RICCIARDO,287,Sector 1,25 of 73
517,RICCIARDO,288,Sector 1,25 of 73
520,RICCIARDO,289,Sector 1,25 of 73
523,RICCIARDO,290,Sector 1,25 of 73
526,RICCIARDO,290,Sector 1,25 of 73
529,RICCIARDO,291,Sector 1,25 of 73
532,RICCIARDO,292,Sector 1,25 of 73
535,RICCIARDO,293,Sector 1,25 of 73
538,RICCIARDO,294,Sector 1,25 of 73
541,RICCIARDO,294,Sector 1,25 of 73
544,RICCIARDO,294,Sector 1,25 of 73
547,RICCIARDO,294,Sector 1,25 of 73
550,RICCIARDO,295,Sector 1,25 of 73
553,RICCIARDO,296,Sector 1,25 of 73
556,RICCIARDO,296,Sector 1,25 of 73
559,RICCIARDO,296,Sector 1,25 of 73
562,RICCIARDO,297,Sector 1,25 of 73
565,RICCIARDO,297,Sector 1,25 of 73
568,RICCIARDO,297,Sector 1,25 of 73
571,RICCIARDO,297,Sector 1,25 of 73
574,RICCIARDO,297,Sector 1,25 of 73
577,RICCIARDO,297,Sector 1,25 of 73
580,RICCIARDO,297,Sector 1,25 of 73
583,RICCIARDO,297,Sector 1,25 of 73
586,RICCIARDO,297,Sector 1,25 of 73
589,RICCIARDO,297,Sector 1,25 of 73
592,RICCIARDO,297,Sector 1,25 of 73
595,RICCIARDO,296,Sector 1,25 of 73
598,RICCIARDO,296,Sector 1,25 of 73
601,RICCIARDO,296,Sector 1,25 of 73
604,RICCIARDO,296,Sector 1,25 of 73
607,RICCIARDO,296,Sector 1,25 of 73
610,RICCIARDO,296,Sector 1,25 of 73
613,RICCIARDO,296,Sector 1,25 of 73
616,RICCIARDO,296,Sector 1,26 of 73
619,RICCIARDO,296,Sector 1,26 of 73
622,RICCIARDO,296,Sector 1,26 of 73
625,RICCIARDO,296,Sector 1,26 of 73
628,RICCIARDO,295,Sector 1,26 of 73
631,RICCIARDO,295,Sector 1,26 of 73
634,RICCIARDO,294,Sector 1,26 of 73
637,RICCIARDO,294,Sector 1,26 of 73
640,RICCIARDO,293,Sector 1,26 of 73
643,RICCIARDO,293,Sector 1,26 of 73
646,RICCIARDO,293,Sector 1,26 of 73
