Frame,Driver,Speed,Sector,Lap
145,VETTEL,283,Sector 1,50 of 73
148,VETTEL,284,Sector 1,50 of 73
151,VETTEL,285,Sector 1,50 of 73
154,VETTEL,286,Sector 1,50 of 73
157,VETTEL,286,Sector 1,50 of 73
160,VETTEL,287,Sector 1,50 of 73
163,VETTEL,287,Sector 1,50 of 73
166,VETTEL,287,Sector 1,50 of 73
169,VETTEL,289,Sector 1,50 of 73
172,VETTEL,290,Sector 1,50 of 73
175,VETTEL,291,Sector 1,50 of 73
178,VETTEL,292,Sector 1,50 of 73
181,VETTEL,293,Sector 1,50 of 73
184,VETTEL,294,Sector 1,50 of 73
187,VETTEL,294,Sector 1,50 of 73
190,VETTEL,295,Sector 1,50 of 73
193,VETTEL,296,Sector 1,50 of 73
196,VETTEL,296,Sector 1,50 of 73
199,VETTEL,297,Sector 1,50 of 73
202,VETTEL,298,Sector 1,50 of 73
205,VETTEL,298,Sector 1,50 of 73
208,VETTEL,298,Sector 1,50 of 73
211,VETTEL,298,Sector 1,50 of 73
214,VETTEL,298,Sector 1,50 of 73
217,VETTEL,299,Sector 1,50 of 73
220,VETTEL,299,Sector 1,50 of 73
223,VETTEL,299,Sector 1,50 of 73
226,VETTEL,299,Sector 1,50 of 73
229,VETTEL,299,Sector 1,50 of 73
232,VETTEL,299,Sector 1,50 of 73
235,VETTEL,299,Sector 1,50 of 73
238,VETTEL,298,Sector 1,50 of 73
241,VETTEL,298,Sector 1,50 of 73
244,VETTEL,298,Sector 1,50 of 73
247,VETTEL,297,Sector 1,50 of 73
250,VETTEL,296,Sector 1,50 of 73
253,VETTEL,296,Sector 1,50 of 73
256,VETTEL,295,Sector 1,50 of 73
259,VETTEL,295,Sector 1,50 of 73
262,VETTEL,294,Sector 1,50 of 73
265,VETTEL,293,Sector 1,50 of 73
268,VETTEL,292,Sector 1,50 of 73
271,VETTEL,289,Sector 1,50 of 73
274,VETTEL,285,Sector 1,50 of 73
277,VETTEL,280,Sector 1,50 of 73
280,VETTEL,268,Sector 1,50 of 73
283,VETTEL,245,Sector 1,50 of 73
286,VETTEL,236,Sector 1,50 of 73
289,VETTEL,227,Sector 1,50 of 73
292,VETTEL,221,Sector 1,50 of 73
295,VETTEL,209,Sector 1,50 of 73
298,VETTEL,200,Sector 1,50 of 73
301,VETTEL,186,Sector 1,50 of 73
304,VETTEL,181,Sector 1,50 of 73
307,VETTEL,175,Sector 1,50 of 73
310,VETTEL,170,Sector 1,50 of 73
313,VETTEL,166,Sector 1,50 of 73
316,VETTEL,159,Sector 1,50 of 73
319,VETTEL,156,Sector 1,50 of 73
322,VETTEL,151,Sector 1,50 of 73
325,VETTEL,148,Sector 1,50 of 73
328,VETTEL,147,Sector 1,50 of 73
331,VETTEL,145,Sector 1,50 of 73
334,VETTEL,141,Sector 1,50 of 73
337,VETTEL,138,Sector 1,50 of 73
340,VETTEL,136,Sector 1,50 of 73
343,VETTEL,134,Sector 1,50 of 73
346,VETTEL,133,Sector 1,50 of 73
349,VETTEL,132,Sector 1,50 of 73
352,VETTEL,131,Sector 1,50 of 73
355,VETTEL,131,Sector 1,50 of 73
358,VETTEL,130,Sector 1,50 of 73
361,VETTEL,129,Sector 1,50 of 73
364,VETTEL,128,Sector 1,50 of 73
367,VETTEL,129,Sector 1,50 of 73
370,VETTEL,130,Sector 1,50 of 73
373,VETTEL,132,Sector 1,50 of 73
376,VETTEL,133,Sector 1,50 of 73
379,VETTEL,135,Sector 1,50 of 73
382,VETTEL,138,Sector 1,50 of 73
385,VETTEL,141,Sector 1,50 of 73
388,VETTEL,145,Sector 1,50 of 73
391,VETTEL,149,Sector 1,50 of 73
394,VETTEL,153,Sector 1,50 of 73
397,VETTEL,158,Sector 1,50 of 73
400,VETTEL,162,Sector 1,50 of 73
403,VETTEL,166,Sector 1,50 of 73
406,VETTEL,168,Sector 1,50 of 73
409,VETTEL,171,Sector 1,50 of 73
412,VETTEL,177,Sector 1,50 of 73
415,VETTEL,180,Sector 1,50 of 73
418,VETTEL,183,Sector 1,50 of 73
421,VETTEL,187,Sector 1,50 of 73
424,VETTEL,189,Sector 1,50 of 73
427,VETTEL,192,Sector 1,50 of 73
430,VETTEL,197,Sector 1,50 of 73
433,VETTEL,201,Sector 1,50 of 73
436,VETTEL,206,Sector 1,50 of 73
439,VETTEL,208,Sector 1,50 of 73
442,VETTEL,212,Sector 1,50 of 73
445,VETTEL,216,Sector 1,50 of 73
448,VETTEL,218,Sector 1,50 of 73
451,VETTEL,220,Sector 1,50 of 73
454,VETTEL,222,Sector 1,50 of 73
457,VETTEL,224,Sector 1,50 of 73
460,VETTEL,226,Sector 1,50 of 73
463,VETTEL,228,Sector 1,50 of 73
466,VETTEL,231,Sector 1,50 of 73
469,VETTEL,234,Sector 1,50 of 73
472,VETTEL,236,Sector 1,50 of 73
475,VETTEL,238,Sector 1,50 of 73
478,VETTEL,240,Sector 1,50 of 73
481,VETTEL,242,Sector 1,50 of 73
484,VETTEL,244,Sector 1,50 of 73
487,VETTEL,247,Sector 1,50 of 73
490,VETTEL,249,Sector 1,50 of 73
493,VETTEL,251,Sector 1,50 of 73
