Frame,Driver,Speed,Sector,Lap
1,VETTEL,262,Sector 3,Ql
21,VETTEL,275,Sector 3,Ql
41,VETTEL,285,Sector 3,Ql
61,VETTEL,292,Sector 1,Ql
81,VETTEL,296,Sector 1,Ql
101,VETTEL,304,Sector 1,Ql
121,VETTEL,308,Sector 1,Ql
141,VETTEL,312,Sector 1,Ql
161,VETTEL,314,Sector 1,Ql
181,VETTEL,310,Sector 1,Ql
201,VETTEL,213,Sector 1,Ql
221,VETTEL,172,Sector 1,Ql
241,VETTEL,152,Sector 1,Ql
261,VETTEL,144,Sector 1,Ql
281,VETTEL,163,Sector 1,Ql
301,VETTEL,185,Sector 1,Ql
321,VETTEL,208,Sector 1,Ql
341,VETTEL,227,Sector 1,Ql
361,VETTEL,242,Sector 1,Ql
381,VETTEL,258,Sector 1,Ql
401,VETTEL,274,Sector 1,Ql
421,VETTEL,283,Sector 1,Ql
441,VETTEL,290,Sector 1,Ql
461,VETTEL,297,Sector 1,Ql
481,VETTEL,304,Sector 1,Ql
501,VETTEL,309,Sector 1,Ql
521,VETTEL,313,Sector 1,Ql
541,VETTEL,316,Sector 1,Ql
561,VETTEL,317,Sector 1,Ql
581,VETTEL,316,Sector 1,Ql
601,VETTEL,314,Sector 1,Ql
621,VETTEL,279,Sector 2,Ql
641,VETTEL,196,Sector 2,Ql
661,VETTEL,143,Sector 2,Ql
681,VETTEL,103,Sector 2,Ql
701,VETTEL,84,Sector 2,Ql
721,VETTEL,70,Sector 2,Ql
741,VETTEL,72,Sector 2,Ql
761,VETTEL,87,Sector 2,Ql
781,VETTEL,112,Sector 2,Ql
801,VETTEL,148,Sector 2,Ql
821,VETTEL,179,Sector 2,Ql
841,VETTEL,204,Sector 2,Ql
861,VETTEL,222,Sector 2,Ql
881,VETTEL,241,Sector 2,Ql
901,VETTEL,257,Sector 2,Ql
921,VETTEL,270,Sector 2,Ql
941,VETTEL,280,Sector 2,Ql
961,VETTEL,288,Sector 2,Ql
981,VETTEL,295,Sector 2,Ql
1001,VETTEL,301,Sector 2,Ql
1021,VETTEL,307,Sector 2,Ql
1041,VETTEL,309,Sector 2,Ql
1061,VETTEL,312,Sector 2,Ql
1081,VETTEL,313,Sector 2,Ql
1101,VETTEL,222,Sector 2,Ql
1121,VETTEL,162,Sector 2,Ql
1141,VETTEL,129,Sector 2,Ql
1161,VETTEL,116,Sector 2,Ql
1181,VETTEL,109,Sector 2,Ql
1201,VETTEL,122,Sector 2,Ql
1221,VETTEL,145,Sector 2,Ql
1241,VETTEL,178,Sector 2,Ql
1261,VETTEL,198,Sector 2,Ql
1281,VETTEL,219,Sector 2,Ql
1301,VETTEL,234,Sector 2,Ql
1321,VETTEL,246,Sector 2,Ql
1341,VETTEL,255,Sector 2,Ql
1361,VETTEL,263,Sector 2,Ql
1381,VETTEL,269,Sector 2,Ql
1401,VETTEL,272,Sector 2,Ql
1421,VETTEL,229,Sector 2,Ql
1441,VETTEL,209,Sector 2,Ql
1461,VETTEL,193,Sector 2,Ql
1481,VETTEL,193,Sector 2,Ql
1501,VETTEL,207,Sector 2,Ql
1521,VETTEL,222,Sector 2,Ql
1541,VETTEL,233,Sector 2,Ql
1561,VETTEL,246,Sector 2,Ql
1581,VETTEL,257,Sector 3,Ql
1601,VETTEL,242,Sector 3,Ql
1621,VETTEL,227,Sector 3,Ql
1641,VETTEL,218,Sector 3,Ql
1661,VETTEL,224,Sector 3,Ql
1681,VETTEL,234,Sector 3,Ql
1701,VETTEL,247,Sector 3,Ql
1721,VETTEL,255,Sector 3,Ql
1741,VETTEL,262,Sector 3,Ql
1761,VETTEL,269,Sector 3,Ql
1781,VETTEL,276,Sector 3,Ql
1801,VETTEL,280,Sector 3,Ql
1821,VETTEL,285,Sector 3,Ql
1841,VETTEL,289,Sector 3,Ql
1861,VETTEL,291,Sector 3,Ql
1881,VETTEL,295,Sector 3,Ql
1901,VETTEL,297,Sector 3,Ql
1921,VETTEL,297,Sector 3,Ql
1941,VETTEL,276,Sector 3,Ql
1961,VETTEL,250,Sector 3,Ql
1981,VETTEL,239,Sector 3,Ql
2001,VETTEL,247,Sector 3,Ql
2021,VETTEL,254,Sector 3,Ql
2041,VETTEL,231,Sector 3,Ql
2061,VETTEL,205,Sector 3,Ql
2081,VETTEL,197,Sector 3,Ql
2101,VETTEL,210,Sector 3,Ql
2121,VETTEL,222,Sector 3,Ql
2141,VETTEL,237,Sector 3,Ql
2161,VETTEL,252,Sector 3,Ql
2181,VETTEL,264,Sector 3,Ql
2201,VETTEL,273,Sector 3,Ql
2221,VETTEL,284,Sector 3,Ql
2241,VETTEL,290,Sector 3,Ql
2261,VETTEL,293,Sector 1,Ql
2281,VETTEL,295,Sector 1,Ql
2301,VETTEL,297,Sector 1,Ql
2321,VETTEL,299,Sector 1,Ql
2341,VETTEL,287,Sector 1,Ql
