Frame,Driver,Speed,Sector,Lap
319,ALONSO,272,Sector 1,26 of 73
322,ALONSO,274,Sector 1,26 of 73
325,ALONSO,274,Sector 1,26 of 73
328,ALONSO,275,Sector 1,26 of 73
331,ALONSO,276,Sector 1,26 of 73
334,ALONSO,277,Sector 1,26 of 73
337,ALONSO,278,Sector 1,26 of 73
340,ALONSO,279,Sector 1,26 of 73
343,ALONSO,279,Sector 1,26 of 73
346,ALONSO,281,Sector 1,26 of 73
349,ALONSO,282,Sector 1,26 of 73
352,ALONSO,282,Sector 1,26 of 73
355,ALONSO,283,Sector 1,26 of 73
358,ALONSO,284,Sector 1,26 of 73
361,ALONSO,285,Sector 1,26 of 73
364,ALONSO,286,Sector 1,26 of 73
367,ALONSO,286,Sector 1,26 of 73
370,ALONSO,287,Sector 1,26 of 73
373,ALONSO,288,Sector 1,26 of 73
376,ALONSO,288,Sector 1,26 of 73
379,ALONSO,289,Sector 1,26 of 73
382,ALONSO,291,Sector 1,26 of 73
385,ALONSO,291,Sector 1,26 of 73
388,ALONSO,292,Sector 1,26 of 73
391,ALONSO,293,Sector 1,26 of 73
394,ALONSO,293,Sector 1,26 of 73
397,ALONSO,293,Sector 1,26 of 73
400,ALONSO,293,Sector 1,26 of 73
403,ALONSO,293,Sector 1,26 of 73
406,ALONSO,293,Sector 1,26 of 73
409,ALONSO,293,Sector 1,26 of 73
412,ALONSO,293,Sector 1,26 of 73
415,ALONSO,293,Sector 1,26 of 73
418,ALONSO,293,Sector 1,26 of 73
421,ALONSO,293,Sector 1,26 of 73
424,ALONSO,293,Sector 1,26 of 73
427,ALONSO,293,Sector 1,26 of 73
430,ALONSO,293,Sector 1,26 of 73
433,ALONSO,293,Sector 1,26 of 73
436,ALONSO,293,Sector 1,26 of 73
439,ALONSO,293,Sector 1,26 of 73
442,ALONSO,293,Sector 1,26 of 73
445,ALONSO,293,Sector 1,26 of 73
448,ALONSO,293,Sector 1,26 of 73
451,ALONSO,292,Sector 1,26 of 73
454,ALONSO,291,Sector 1,26 of 73
457,ALONSO,291,Sector 1,26 of 73
460,ALONSO,291,Sector 1,26 of 73
463,ALONSO,291,Sector 1,26 of 73
466,ALONSO,291,Sector 1,26 of 73
469,ALONSO,291,Sector 1,26 of 73
472,ALONSO,291,Sector 1,26 of 73
475,ALONSO,273,Sector 1,26 of 73
478,ALONSO,242,Sector 1,26 of 73
481,ALONSO,223,Sector 1,26 of 73
484,ALONSO,215,Sector 1,26 of 73
487,ALONSO,209,Sector 1,26 of 73
490,ALONSO,194,Sector 1,26 of 73
493,ALONSO,183,Sector 1,26 of 73
496,ALONSO,173,Sector 1,26 of 73
499,ALONSO,163,Sector 1,26 of 73
502,ALONSO,160,Sector 1,26 of 73
505,ALONSO,156,Sector 1,26 of 73
508,ALONSO,151,Sector 1,26 of 73
511,ALONSO,148,Sector 1,26 of 73
514,ALONSO,146,Sector 1,26 of 73
517,ALONSO,144,Sector 1,26 of 73
520,ALONSO,142,Sector 1,26 of 73
523,ALONSO,141,Sector 1,26 of 73
526,ALONSO,140,Sector 1,26 of 73
529,ALONSO,138,Sector 1,26 of 73
532,ALONSO,135,Sector 1,26 of 73
535,ALONSO,134,Sector 1,26 of 73
538,ALONSO,132,Sector 1,26 of 73
541,ALONSO,131,Sector 1,26 of 73
544,ALONSO,131,Sector 1,26 of 73
547,ALONSO,131,Sector 1,26 of 73
550,ALONSO,131,Sector 1,26 of 73
553,ALONSO,131,Sector 1,26 of 73
556,ALONSO,131,Sector 1,26 of 73
559,ALONSO,134,Sector 1,26 of 73
562,ALONSO,136,Sector 1,26 of 73
565,ALONSO,137,Sector 1,26 of 73
