Frame,Driver,Speed,Sector,Lap
346,RUSSELL,288,Sector 1,26 of 73
349,RUSSELL,289,Sector 1,26 of 73
352,RUSSELL,290,Sector 1,26 of 73
355,RUSSELL,292,Sector 1,26 of 73
358,RUSSELL,293,Sector 1,26 of 73
361,RUSSELL,295,Sector 1,26 of 73
364,RUSSELL,296,Sector 1,26 of 73
367,RUSSELL,297,Sector 1,26 of 73
370,RUSSELL,299,Sector 1,26 of 73
373,RUSSELL,300,Sector 1,26 of 73
376,RUSSELL,300,Sector 1,26 of 73
379,RUSSELL,300,Sector 1,26 of 73
382,RUSSELL,302,Sector 1,26 of 73
385,RUSSELL,303,Sector 1,26 of 73
388,RUSSELL,304,Sector 1,26 of 73
391,RUSSELL,306,Sector 1,26 of 73
394,RUSSELL,307,Sector 1,26 of 73
397,RUSSELL,308,Sector 1,26 of 73
400,RUSSELL,309,Sector 1,26 of 73
403,RUSSELL,309,Sector 1,26 of 73
406,RUSSELL,309,Sector 1,26 of 73
409,RUSSELL,309,Sector 1,26 of 73
412,RUSSELL,310,Sector 1,26 of 73
415,RUSSELL,310,Sector 1,26 of 73
418,RUSSELL,311,Sector 1,26 of 73
421,RUSSELL,311,Sector 1,26 of 73
424,RUSSELL,311,Sector 1,26 of 73
427,RUSSELL,312,Sector 1,26 of 73
430,RUSSELL,312,Sector 1,26 of 73
433,RUSSELL,313,Sector 1,26 of 73
436,RUSSELL,313,Sector 1,26 of 73
439,RUSSELL,313,Sector 1,26 of 73
442,RUSSELL,313,Sector 1,26 of 73
445,RUSSELL,313,Sector 1,26 of 73
448,RUSSELL,313,Sector 1,26 of 73
451,RUSSELL,313,Sector 1,26 of 73
454,RUSSELL,313,Sector 1,26 of 73
457,RUSSELL,313,Sector 1,26 of 73
460,RUSSELL,313,Sector 1,26 of 73
463,RUSSELL,313,Sector 1,26 of 73
466,RUSSELL,313,Sector 1,26 of 73
469,RUSSELL,301,Sector 1,26 of 73
472,RUSSELL,295,Sector 1,26 of 73
475,RUSSELL,292,Sector 1,26 of 73
478,RUSSELL,292,Sector 1,26 of 73
481,RUSSELL,277,Sector 1,26 of 73
484,RUSSELL,252,Sector 1,26 of 73
487,RUSSELL,235,Sector 1,26 of 73
490,RUSSELL,220,Sector 1,26 of 73
493,RUSSELL,211,Sector 1,26 of 73
496,RUSSELL,202,Sector 1,26 of 73
499,RUSSELL,190,Sector 1,26 of 73
502,RUSSELL,185,Sector 1,26 of 73
505,RUSSELL,179,Sector 1,26 of 73
508,RUSSELL,174,Sector 1,26 of 73
511,RUSSELL,171,Sector 1,26 of 73
514,RUSSELL,161,Sector 1,26 of 73
517,RUSSELL,153,Sector 1,26 of 73
520,RUSSELL,145,Sector 1,26 of 73
523,RUSSELL,142,Sector 1,26 of 73
526,RUSSELL,140,Sector 1,26 of 73
529,RUSSELL,137,Sector 1,26 of 73
532,RUSSELL,135,Sector 1,26 of 73
535,RUSSELL,134,Sector 1,26 of 73
538,RUSSELL,131,Sector 1,26 of 73
541,RUSSELL,129,Sector 1,26 of 73
544,RUSSELL,128,Sector 1,26 of 73
547,RUSSELL,127,Sector 1,26 of 73
550,RUSSELL,125,Sector 1,26 of 73
553,RUSSELL,124,Sector 1,26 of 73
556,RUSSELL,123,Sector 1,26 of 73
559,RUSSELL,121,Sector 1,26 of 73
562,RUSSELL,120,Sector 1,26 of 73
565,RUSSELL,119,Sector 1,26 of 73
568,RUSSELL,119,Sector 1,26 of 73
571,RUSSELL,120,Sector 1,26 of 73
574,RUSSELL,120,Sector 1,26 of 73
577,RUSSELL,121,Sector 1,26 of 73
580,RUSSELL,121,Sector 1,26 of 73
583,RUSSELL,121,Sector 1,26 of 73
586,RUSSELL,124,Sector 1,26 of 73
589,RUSSELL,126,Sector 1,26 of 73
592,RUSSELL,128,Sector 1,26 of 73
595,RUSSELL,132,Sector 1,26 of 73
598,RUSSELL,134,Sector 1,26 of 73
601,RUSSELL,139,Sector 1,26 of 73
604,RUSSELL,143,Sector 1,26 of 73
607,RUSSELL,148,Sector 1,26 of 73
610,RUSSELL,154,Sector 1,26 of 73
613,RUSSELL,159,Sector 1,26 of 73
616,RUSSELL,163,Sector 1,26 of 73
619,RUSSELL,164,Sector 1,26 of 73
622,RUSSELL,166,Sector 1,26 of 73
625,RUSSELL,168,Sector 1,26 of 73
628,RUSSELL,174,Sector 1,26 of 73
631,RUSSELL,177,Sector 1,26 of 73
634,RUSSELL,181,Sector 1,26 of 73
637,RUSSELL,186,Sector 1,26 of 73
640,RUSSELL,189,Sector 1,26 of 73
643,RUSSELL,193,Sector 1,26 of 73
646,RUSSELL,197,Sector 1,26 of 73
649,RUSSELL,199,Sector 1,26 of 73
652,RUSSELL,202,Sector 1,26 of 73
655,RUSSELL,205,Sector 1,26 of 73
658,RUSSELL,207,Sector 1,26 of 73
661,RUSSELL,211,Sector 1,26 of 73
664,RUSSELL,214,Sector 1,26 of 73
667,RUSSELL,218,Sector 1,26 of 73
670,RUSSELL,221,Sector 1,26 of 73
673,RUSSELL,225,Sector 1,26 of 73
676,RUSSELL,227,Sector 1,26 of 73
679,RUSSELL,228,Sector 1,26 of 73
682,RUSSELL,232,Sector 1,26 of 73
685,RUSSELL,236,Sector 1,26 of 73
688,RUSSELL,238,Sector 1,26 of 73
691,RUSSELL,238,Sector 1,26 of 73
694,RUSSELL,239,Sector 1,26 of 73
697,RUSSELL,242,Sector 1,26 of 73
700,RUSSELL,244,Sector 1,26 of 73
703,RUSSELL,248,Sector 1,26 of 73
706,RUSSELL,249,Sector 1,26 of 73
709,RUSSELL,251,Sector 1,26 of 73
712,RUSSELL,254,Sector 1,26 of 73
715,RUSSELL,256,Sector 1,26 of 73
718,RUSSELL,260,Sector 1,26 of 73
721,RUSSELL,262,Sector 1,26 of 73
724,RUSSELL,263,Sector 1,26 of 73
727,RUSSELL,264,Sector 1,26 of 73
730,RUSSELL,267,Sector 1,26 of 73
733,RUSSELL,269,Sector 1,26 of 73
736,RUSSELL,271,Sector 1,26 of 73
739,RUSSELL,272,Sector 1,26 of 73
742,RUSSELL,273,Sector 1,26 of 73
745,RUSSELL,275,Sector 1,26 of 73
748,RUSSELL,275,Sector 1,26 of 73
751,RUSSELL,276,Sector 1,26 of 73
754,RUSSELL,278,Sector 1,26 of 73
757,RUSSELL,279,Sector 1,26 of 73
760,RUSSELL,280,Sector 1,26 of 73
763,RUSSELL,282,Sector 1,26 of 73
766,RUSSELL,284,Sector 1,26 of 73
769,RUSSELL,286,Sector 1,26 of 73
772,RUSSELL,286,Sector 1,26 of 73
775,RUSSELL,287,Sector 1,26 of 73
778,RUSSELL,288,Sector 1,26 of 73
781,RUSSELL,289,Sector 1,26 of 73
784,RUSSELL,292,Sector 1,26 of 73
787,RUSSELL,292,Sector 1,26 of 73
790,RUSSELL,293,Sector 1,26 of 73
793,RUSSELL,294,Sector 1,26 of 73
796,RUSSELL,296,Sector 1,26 of 73
799,RUSSELL,297,Sector 1,26 of 73
802,RUSSELL,298,Sector 1,26 of 73
805,RUSSELL,299,Sector 1,26 of 73
808,RUSSELL,300,Sector 1,26 of 73
811,RUSSELL,301,Sector 1,26 of 73
814,RUSSELL,302,Sector 1,26 of 73
817,RUSSELL,303,Sector 1,26 of 73
820,RUSSELL,304,Sector 1,26 of 73
823,RUSSELL,305,Sector 1,26 of 73
826,RUSSELL,306,Sector 1,26 of 73
829,RUSSELL,307,Sector 1,26 of 73
832,RUSSELL,308,Sector 1,26 of 73
835,RUSSELL,308,Sector 1,26 of 73
838,RUSSELL,309,Sector 1,26 of 73
841,RUSSELL,310,Sector 1,26 of 73
844,RUSSELL,311,Sector 1,26 of 73
847,RUSSELL,311,Sector 1,26 of 73
850,RUSSELL,312,Sector 1,26 of 73
853,RUSSELL,313,Sector 1,26 of 73
856,RUSSELL,313,Sector 1,26 of 73
859,RUSSELL,314,Sector 1,26 of 73
862,RUSSELL,315,Sector 1,26 of 73
865,RUSSELL,316,Sector 1,26 of 73
868,RUSSELL,316,Sector 1,26 of 73
871,RUSSELL,316,Sector 1,26 of 73
