Frame,Driver,Speed,Sector,Lap
1,STROLL,316,Sector 1,Ql
101,STROLL,84,Sector 2,Ql
201,STROLL,136,Sector 2,Ql
301,STROLL,254,Sector 2,Ql
401,STROLL,303,Sector 2,Ql
501,STROLL,232,Sector 2,Ql
601,STROLL,114,Sector 2,Ql
701,STROLL,228,Sector 2,Ql
801,STROLL,274,Sector 2,Ql
901,STROLL,197,Sector 2,Ql
1001,STROLL,251,Sector 3,Ql
1101,STROLL,245,Sector 3,Ql
1201,STROLL,280,Sector 3,Ql
1301,STROLL,298,Sector 3,Ql
1401,STROLL,253,Sector 3,Ql
1501,STROLL,206,Sector 3,Ql
1601,STROLL,275,Sector 3,Ql
1701,STROLL,299,Sector 1,Ql
1801,STROLL,182,Sector 1,Ql
1901,STROLL,141,Sector 1,Ql
2001,STROLL,226,Sector 1,Ql
2101,STROLL,271,Sector 1,Ql
2201,STROLL,287,Sector 1,Ql
2301,STROLL,178,Sector 2,Ql
