Frame,Driver,Speed,Sector,Lap
112,HAMILTON,276,Sector 1,9 of 73
115,HAMILTON,277,Sector 1,9 of 73
118,HAMILTON,278,Sector 1,9 of 73
121,HAMILTON,279,Sector 1,9 of 73
124,HAMILTON,280,Sector 1,9 of 73
127,HAMILTON,281,Sector 1,9 of 73
130,HAMILTON,282,Sector 1,9 of 73
133,HAMILTON,282,Sector 1,9 of 73
136,HAMILTON,283,Sector 1,9 of 73
139,HAMILTON,284,Sector 1,9 of 73
142,HAMILTON,285,Sector 1,9 of 73
145,HAMILTON,286,Sector 1,9 of 73
148,HAMILTON,286,Sector 1,9 of 73
151,HAMILTON,286,Sector 1,9 of 73
154,HAMILTON,286,Sector 1,9 of 73
157,HAMILTON,286,Sector 1,9 of 73
160,HAMILTON,286,Sector 1,9 of 73
163,HAMILTON,286,Sector 1,9 of 73
166,HAMILTON,287,Sector 1,9 of 73
169,HAMILTON,287,Sector 1,9 of 73
172,HAMILTON,287,Sector 1,9 of 73
175,HAMILTON,287,Sector 1,9 of 73
178,HAMILTON,287,Sector 1,9 of 73
181,HAMILTON,287,Sector 1,9 of 73
184,HAMILTON,287,Sector 1,9 of 73
187,HAMILTON,287,Sector 1,9 of 73
190,HAMILTON,287,Sector 1,9 of 73
193,HAMILTON,287,Sector 1,9 of 73
196,HAMILTON,287,Sector 1,9 of 73
199,HAMILTON,288,Sector 1,9 of 73
202,HAMILTON,288,Sector 1,9 of 73
205,HAMILTON,288,Sector 1,9 of 73
208,HAMILTON,288,Sector 1,9 of 73
211,HAMILTON,288,Sector 1,9 of 73
214,HAMILTON,288,Sector 1,9 of 73
217,HAMILTON,288,Sector 1,9 of 73
220,HAMILTON,288,Sector 1,9 of 73
223,HAMILTON,287,Sector 1,9 of 73
226,HAMILTON,287,Sector 1,9 of 73
229,HAMILTON,286,Sector 1,9 of 73
232,HAMILTON,285,Sector 1,9 of 73
235,HAMILTON,285,Sector 1,9 of 73
238,HAMILTON,283,Sector 1,9 of 73
241,HAMILTON,278,Sector 1,9 of 73
244,HAMILTON,276,Sector 1,9 of 73
247,HAMILTON,272,Sector 1,9 of 73
250,HAMILTON,264,Sector 1,9 of 73
253,HAMILTON,256,Sector 1,9 of 73
256,HAMILTON,245,Sector 1,9 of 73
259,HAMILTON,238,Sector 1,9 of 73
262,HAMILTON,228,Sector 1,9 of 73
265,HAMILTON,217,Sector 1,9 of 73
268,HAMILTON,199,Sector 1,9 of 73
271,HAMILTON,194,Sector 1,9 of 73
274,HAMILTON,186,Sector 1,9 of 73
277,HAMILTON,179,Sector 1,9 of 73
280,HAMILTON,176,Sector 1,9 of 73
283,HAMILTON,172,Sector 1,9 of 73
286,HAMILTON,166,Sector 1,9 of 73
289,HAMILTON,162,Sector 1,9 of 73
292,HAMILTON,157,Sector 1,9 of 73
295,HAMILTON,152,Sector 1,9 of 73
298,HAMILTON,149,Sector 1,9 of 73
301,HAMILTON,147,Sector 1,9 of 73
304,HAMILTON,146,Sector 1,9 of 73
307,HAMILTON,145,Sector 1,9 of 73
310,HAMILTON,142,Sector 1,9 of 73
313,HAMILTON,140,Sector 1,9 of 73
316,HAMILTON,138,Sector 1,9 of 73
319,HAMILTON,136,Sector 1,9 of 73
322,HAMILTON,134,Sector 1,9 of 73
325,HAMILTON,134,Sector 1,9 of 73
328,HAMILTON,134,Sector 1,9 of 73
331,HAMILTON,134,Sector 1,9 of 73
334,HAMILTON,136,Sector 1,9 of 73
337,HAMILTON,138,Sector 1,9 of 73
340,HAMILTON,138,Sector 1,9 of 73
343,HAMILTON,142,Sector 1,9 of 73
346,HAMILTON,143,Sector 1,9 of 73
349,HAMILTON,146,Sector 1,9 of 73
352,HAMILTON,148,Sector 1,9 of 73
355,HAMILTON,151,Sector 1,9 of 73
358,HAMILTON,153,Sector 1,9 of 73
361,HAMILTON,156,Sector 1,9 of 73
364,HAMILTON,158,Sector 1,9 of 73
367,HAMILTON,162,Sector 1,9 of 73
370,HAMILTON,167,Sector 1,9 of 73
373,HAMILTON,170,Sector 1,9 of 73
376,HAMILTON,173,Sector 1,9 of 73
379,HAMILTON,177,Sector 1,9 of 73
382,HAMILTON,179,Sector 1,9 of 73
385,HAMILTON,184,Sector 1,9 of 73
388,HAMILTON,187,Sector 1,9 of 73
391,HAMILTON,192,Sector 1,9 of 73
394,HAMILTON,194,Sector 1,9 of 73
397,HAMILTON,196,Sector 1,9 of 73
400,HAMILTON,199,Sector 1,9 of 73
403,HAMILTON,201,Sector 1,9 of 73
406,HAMILTON,204,Sector 1,9 of 73
409,HAMILTON,208,Sector 1,9 of 73
412,HAMILTON,211,Sector 1,9 of 73
415,HAMILTON,214,Sector 1,9 of 73
418,HAMILTON,216,Sector 1,9 of 73
421,HAMILTON,218,Sector 1,9 of 73
424,HAMILTON,220,Sector 1,9 of 73
427,HAMILTON,224,Sector 1,9 of 73
430,HAMILTON,226,Sector 1,9 of 73
433,HAMILTON,228,Sector 1,9 of 73
436,HAMILTON,230,Sector 1,9 of 73
439,HAMILTON,231,Sector 1,9 of 73
442,HAMILTON,232,Sector 1,9 of 73
445,HAMILTON,235,Sector 1,9 of 73
448,HAMILTON,237,Sector 1,9 of 73
451,HAMILTON,239,Sector 1,9 of 73
454,HAMILTON,240,Sector 1,9 of 73
457,HAMILTON,242,Sector 1,9 of 73
460,HAMILTON,244,Sector 1,9 of 73
463,HAMILTON,247,Sector 1,9 of 73
466,HAMILTON,248,Sector 1,9 of 73
469,HAMILTON,250,Sector 1,9 of 73
472,HAMILTON,251,Sector 1,9 of 73
475,HAMILTON,253,Sector 1,9 of 73
478,HAMILTON,255,Sector 1,9 of 73
481,HAMILTON,256,Sector 1,9 of 73
484,HAMILTON,257,Sector 1,9 of 73
487,HAMILTON,258,Sector 1,9 of 73
490,HAMILTON,259,Sector 1,9 of 73
493,HAMILTON,260,Sector 1,9 of 73
496,HAMILTON,262,Sector 1,9 of 73
499,HAMILTON,263,Sector 1,9 of 73
502,HAMILTON,263,Sector 1,9 of 73
505,HAMILTON,265,Sector 1,9 of 73
508,HAMILTON,266,Sector 1,9 of 73
511,HAMILTON,268,Sector 1,9 of 73
514,HAMILTON,269,Sector 1,9 of 73
517,HAMILTON,269,Sector 1,9 of 73
520,HAMILTON,270,Sector 1,9 of 73
523,HAMILTON,273,Sector 1,9 of 73
526,HAMILTON,273,Sector 1,9 of 73
529,HAMILTON,274,Sector 1,9 of 73
532,HAMILTON,275,Sector 1,9 of 73
535,HAMILTON,276,Sector 1,9 of 73
538,HAMILTON,276,Sector 1,9 of 73
541,HAMILTON,277,Sector 1,9 of 73
544,HAMILTON,277,Sector 1,9 of 73
547,HAMILTON,279,Sector 1,9 of 73
