Frame,Driver,Speed,Sector,Lap
1,HAMILTON,80,Sector 3,34 / 53
101,HAMILTON,155,Sector 3,34 / 53
201,HAMILTON,254,Sector 3,34 / 53
301,HAMILTON,291,Sector 3,34 / 53
401,HAMILTON,303,Sector 1,35 / 53
501,HAMILTON,169,Sector 1,35 / 53
601,HAMILTON,185,Sector 1,35 / 53
701,HAMILTON,261,Sector 1,35 / 53
801,HAMILTON,278,Sector 1,35 / 53
901,HAMILTON,145,Sector 1,35 / 53
1001,HAMILTON,125,Sector 1,35 / 53
1101,HAMILTON,84,Sector 1,35 / 53
1201,HAMILTON,137,Sector 2,35 / 53
1301,HAMILTON,216,Sector 2,35 / 53
1401,HAMILTON,265,Sector 2,35 / 53
1501,HAMILTON,290,Sector 2,35 / 53
1601,HAMILTON,302,Sector 2,35 / 53
1701,HAMILTON,296,Sector 2,35 / 53
1801,HAMILTON,173,Sector 2,35 / 53
1901,HAMILTON,102,Sector 2,35 / 53
2001,HAMILTON,201,Sector 2,35 / 53
2101,HAMILTON,265,Sector 2,35 / 53
2201,HAMILTON,290,Sector 3,35 / 53
2301,HAMILTON,294,Sector 3,35 / 53
2401,HAMILTON,282,Sector 3,35 / 53
2501,HAMILTON,223,Sector 3,35 / 53
2601,HAMILTON,154,Sector 3,35 / 53
2701,HAMILTON,192,Sector 3,35 / 53
2801,HAMILTON,176,Sector 3,35 / 53
2901,HAMILTON,120,Sector 3,35 / 53
3001,HAMILTON,225,Sector 3,35 / 53
3101,HAMILTON,258,Sector 3,35 / 53
3201,HAMILTON,144,Sector 3,35 / 53
3301,HAMILTON,89,Sector 3,35 / 53
3401,HAMILTON,145,Sector 3,35 / 53
3501,HAMILTON,248,Sector 3,35 / 53
3601,HAMILTON,289,Sector 3,35 / 53
3701,HAMILTON,302,Sector 1,36 / 53
3801,HAMILTON,179,Sector 1,36 / 53
3901,HAMILTON,184,Sector 1,36 / 53
4001,HAMILTON,257,Sector 1,36 / 53
4101,HAMILTON,281,Sector 1,36 / 53
4201,HAMILTON,143,Sector 1,36 / 53
4301,HAMILTON,126,Sector 1,36 / 53
4401,HAMILTON,85,Sector 1,36 / 53
4501,HAMILTON,141,Sector 2,36 / 53
4601,HAMILTON,219,Sector 2,36 / 53
4701,HAMILTON,266,Sector 2,36 / 53
4801,HAMILTON,292,Sector 2,36 / 53
4901,HAMILTON,301,Sector 2,36 / 53
5001,HAMILTON,301,Sector 2,36 / 53
5101,HAMILTON,169,Sector 2,36 / 53
5201,HAMILTON,103,Sector 2,36 / 53
5301,HAMILTON,203,Sector 2,36 / 53
5401,HAMILTON,266,Sector 2,36 / 53
