Frame,Driver,Speed,Sector,Lap
1,VERSTAPPEN,233,Sector 3,34 / 53
31,VERSTAPPEN,174,Sector 3,34 / 53
61,VERSTAPPEN,139,Sector 3,34 / 53
91,VERSTAPPEN,123,Sector 3,34 / 53
121,VERSTAPPEN,119,Sector 3,34/53
151,VERSTAPPEN,126,Sector 3,34 / 53
181,VERSTAPPEN,159,Sector 3,34 / 53
211,VERSTAPPEN,199,Sector 3,34 / 53
241,VERSTAPPEN,225,Sector 3,34 / 53
271,VERSTAPPEN,239,Sector 3,34 / 53
301,VERSTAPPEN,252,Sector 3,34 / 53
331,VERSTAPPEN,261,Sector 3,35 / 53
361,VERSTAPPEN,221,Sector 3,35 / 53
391,VERSTAPPEN,175,Sector 3,35 / 53
421,VERSTAPPEN,154,Sector 3,35 / 53
451,VERSTAPPEN,143,Sector 3,35 / 53
481,VERSTAPPEN,149,Sector 3,35 / 53
511,VERSTAPPEN,112,Sector 3,35 / 53
541,VERSTAPPEN,90,Sector 3,35 / 53
571,VERSTAPPEN,80,Sector 3,35 / 53
601,VERSTAPPEN,98,Sector 3,35 / 53
631,VERSTAPPEN,139,Sector 3,35 / 53
661,VERSTAPPEN,182,Sector 3,35 / 53
691,VERSTAPPEN,214,Sector 3,35 / 53
721,VERSTAPPEN,238,Sector 3,35 / 53
751,VERSTAPPEN,261,Sector 3,35 / 53
781,VERSTAPPEN,275,Sector 3,35 / 53
811,VERSTAPPEN,288,Sector 3,35 / 53
841,VERSTAPPEN,297,Sector 3,35 / 53
871,VERSTAPPEN,305,Sector 1,35 / 53
901,VERSTAPPEN,309,Sector 1,35 / 53
931,VERSTAPPEN,309,Sector 1,35 / 53
961,VERSTAPPEN,308,Sector 1,35 / 53
991,VERSTAPPEN,283,Sector 1,35 / 53
1021,VERSTAPPEN,201,Sector 1,35 / 53
1051,VERSTAPPEN,161,Sector 1,35 / 53
1081,VERSTAPPEN,169,Sector 1,35 / 53
1111,VERSTAPPEN,185,Sector 1,35 / 53
1141,VERSTAPPEN,194,Sector 1,35 / 53
1171,VERSTAPPEN,220,Sector 1,35 / 53
1201,VERSTAPPEN,246,Sector 1,35 / 53
1231,VERSTAPPEN,263,Sector 1,35 / 53
1261,VERSTAPPEN,274,Sector 1,35 / 53
1291,VERSTAPPEN,280,Sector 1,35 / 53
1321,VERSTAPPEN,284,Sector 1,35 / 53
1351,VERSTAPPEN,237,Sector 1,35 / 53
1381,VERSTAPPEN,182,Sector 1,35 / 53
1411,VERSTAPPEN,152,Sector 1,35 / 53
1441,VERSTAPPEN,142,Sector 1,35 / 53
1471,VERSTAPPEN,121,Sector 1,35 / 53
1501,VERSTAPPEN,116,Sector 1,35 / 53
1531,VERSTAPPEN,134,Sector 1,35 / 53
1561,VERSTAPPEN,103,Sector 1,35 / 53
1591,VERSTAPPEN,87,Sector 1,35 / 53
1621,VERSTAPPEN,86,Sector 1,35 / 53
1651,VERSTAPPEN,104,Sector 1,35 / 53
1681,VERSTAPPEN,137,Sector 1,35 / 53
1711,VERSTAPPEN,152,Sector 2,35 / 53
1741,VERSTAPPEN,164,Sector 2,35 / 53
1771,VERSTAPPEN,179,Sector 2,35 / 53
1801,VERSTAPPEN,207,Sector 2,35 / 53
1831,VERSTAPPEN,232,Sector 2,35 / 53
1861,VERSTAPPEN,248,Sector 2,35 / 53
1891,VERSTAPPEN,258,Sector 2,35 / 53
1921,VERSTAPPEN,271,Sector 2,35 / 53
1951,VERSTAPPEN,280,Sector 2,35 / 53
1981,VERSTAPPEN,286,Sector 2,35 / 53
2011,VERSTAPPEN,294,Sector 2,35 / 53
2041,VERSTAPPEN,300,Sector 2,35 / 53
2071,VERSTAPPEN,305,Sector 2,35 / 53
2101,VERSTAPPEN,309,Sector 2,35 / 53
2131,VERSTAPPEN,311,Sector 2,35 / 53
2161,VERSTAPPEN,313,Sector 2,35 / 53
2191,VERSTAPPEN,314,Sector 2,35 / 53
2221,VERSTAPPEN,310,Sector 2,35 / 53
2251,VERSTAPPEN,307,Sector 2,35 / 53
2281,VERSTAPPEN,243,Sector 2,35 / 53
2311,VERSTAPPEN,156,Sector 2,35 / 53
2341,VERSTAPPEN,134,Sector 2,35 / 53
2371,VERSTAPPEN,134,Sector 2,35 / 53
2401,VERSTAPPEN,109,Sector 2,35 / 53
2431,VERSTAPPEN,108,Sector 2,35 / 53
2461,VERSTAPPEN,139,Sector 2,35 / 53
2491,VERSTAPPEN,181,Sector 2,35 / 53
2521,VERSTAPPEN,211,Sector 2,35 / 53
2551,VERSTAPPEN,234,Sector 2,35 / 53
2581,VERSTAPPEN,256,Sector 2,35 / 53
2611,VERSTAPPEN,270,Sector 2,35 / 53
2641,VERSTAPPEN,281,Sector 2,35 / 53
2671,VERSTAPPEN,289,Sector 2,35 / 53
2701,VERSTAPPEN,297,Sector 2,35 / 53
2731,VERSTAPPEN,303,Sector 2,35 / 53
2761,VERSTAPPEN,307,Sector 2,35 / 53
2791,VERSTAPPEN,309,Sector 3,35 / 53
2821,VERSTAPPEN,305,Sector 3,35 / 53
2851,VERSTAPPEN,301,Sector 3,35 / 53
2881,VERSTAPPEN,298,Sector 3,35 / 53
2911,VERSTAPPEN,299,Sector 3,35 / 53
2941,VERSTAPPEN,296,Sector 3,35 / 53
2971,VERSTAPPEN,244,Sector 3,35 / 53
3001,VERSTAPPEN,216,Sector 3,35 / 53
3031,VERSTAPPEN,191,Sector 3,35 / 53
3061,VERSTAPPEN,175,Sector 3,35 / 53
3091,VERSTAPPEN,164,Sector 3,35 / 53
3121,VERSTAPPEN,165,Sector 3,35 / 53
3151,VERSTAPPEN,179,Sector 3,35 / 53
3181,VERSTAPPEN,203,Sector 3,35 / 53
3211,VERSTAPPEN,226,Sector 3,35 / 53
3241,VERSTAPPEN,235,Sector 3,35 / 53
3271,VERSTAPPEN,174,Sector 3,35 / 53
3301,VERSTAPPEN,141,Sector 3,35 / 53
3331,VERSTAPPEN,121,Sector 3,35 / 53
3361,VERSTAPPEN,117,Sector 3,35 / 53
3391,VERSTAPPEN,136,Sector 3,35 / 53
3421,VERSTAPPEN,174,Sector 3,35 / 53
3451,VERSTAPPEN,202,Sector 3,35 / 53
3481,VERSTAPPEN,219,Sector 3,35 / 53
3511,VERSTAPPEN,238,Sector 3,35 / 53
3541,VERSTAPPEN,249,Sector 3,35 / 53
3571,VERSTAPPEN,259,Sector 3,35 / 53
3601,VERSTAPPEN,219,Sector 3,35 / 53
3631,VERSTAPPEN,171,Sector 3,36 / 53
3661,VERSTAPPEN,151,Sector 3,36 / 53
3691,VERSTAPPEN,142,Sector 3,36 / 53
3721,VERSTAPPEN,149,Sector 3,36 / 53
3751,VERSTAPPEN,110,Sector 3,36 / 53
3781,VERSTAPPEN,86,Sector 3,36 / 53
3811,VERSTAPPEN,77,Sector 3,36 / 53
3841,VERSTAPPEN,96,Sector 3,36 / 53
3871,VERSTAPPEN,134,Sector 3,36 / 53
3901,VERSTAPPEN,178,Sector 3,36 / 53
3931,VERSTAPPEN,210,Sector 3,36 / 53
3961,VERSTAPPEN,234,Sector 3,36 / 53
3991,VERSTAPPEN,257,Sector 3,36 / 53
4021,VERSTAPPEN,270,Sector 3,36 / 53
4051,VERSTAPPEN,283,Sector 3,36 / 53
4081,VERSTAPPEN,292,Sector 3,36 / 53
4111,VERSTAPPEN,301,Sector 1,36 / 53
4141,VERSTAPPEN,303,Sector 1,36 / 53
4171,VERSTAPPEN,304,Sector 1,36 / 53
4201,VERSTAPPEN,305,Sector 1,36 / 53
4231,VERSTAPPEN,304,Sector 1,36 / 53
4261,VERSTAPPEN,205,Sector 1,36 / 53
4291,VERSTAPPEN,169,Sector 1,36 / 53
4321,VERSTAPPEN,167,Sector 1,36 / 53
4351,VERSTAPPEN,181,Sector 1,36 / 53
4381,VERSTAPPEN,190,Sector 1,36 / 53
4411,VERSTAPPEN,215,Sector 1,36 / 53
4441,VERSTAPPEN,242,Sector 1,36 / 53
4471,VERSTAPPEN,260,Sector 1,36 / 53
4501,VERSTAPPEN,271,Sector 1,36 / 53
4531,VERSTAPPEN,278,Sector 1,36 / 53
4561,VERSTAPPEN,282,Sector 1,36 / 53
4591,VERSTAPPEN,267,Sector 1,36 / 53
4621,VERSTAPPEN,186,Sector 1,36 / 53
4651,VERSTAPPEN,151,Sector 1,36 / 53
4681,VERSTAPPEN,141,Sector 1,36 / 53
4711,VERSTAPPEN,123,Sector 1,36 / 53
4741,VERSTAPPEN,116,Sector 1,36 / 53
4771,VERSTAPPEN,125,Sector 1,36 / 53
4801,VERSTAPPEN,114,Sector 1,36 / 53
4831,VERSTAPPEN,91,Sector 1,36 / 53
4861,VERSTAPPEN,85,Sector 1,36 / 53
4891,VERSTAPPEN,97,Sector 1,36 / 53
4921,VERSTAPPEN,127,Sector 1,36 / 53
4951,VERSTAPPEN,148,Sector 2,36 / 53
4981,VERSTAPPEN,160,Sector 2,36 / 53
5011,VERSTAPPEN,183,Sector 2,36 / 53
5041,VERSTAPPEN,211,Sector 2,36 / 53
5071,VERSTAPPEN,228,Sector 2,36 / 53
5101,VERSTAPPEN,247,Sector 2,36 / 53
5131,VERSTAPPEN,256,Sector 2,36 / 53
5161,VERSTAPPEN,266,Sector 2,36 / 53
5191,VERSTAPPEN,277,Sector 2,36 / 53
5221,VERSTAPPEN,284,Sector 2,36 / 53
5251,VERSTAPPEN,290,Sector 2,36 / 53
5281,VERSTAPPEN,296,Sector 2,36 / 53
5311,VERSTAPPEN,301,Sector 2,36 / 53
5341,VERSTAPPEN,304,Sector 2,36 / 53
5371,VERSTAPPEN,304,Sector 2,36 / 53
5401,VERSTAPPEN,304,Sector 2,36 / 53
5431,VERSTAPPEN,302,Sector 2,36 / 53
5461,VERSTAPPEN,300,Sector 2,36 / 53
