Frame,Driver,Speed,Sector,Lap
1,VERSTAPPEN,233,Sector 3,34 / 53
11,VERSTAPPEN,217,Sector 3,34 / 53
21,VERSTAPPEN,192,Sector 3,34 / 53
31,VERSTAPPEN,174,Sector 3,34 / 53
41,VERSTAPPEN,164,Sector 3,34 / 53
51,VERSTAPPEN,146,Sector 3,34 / 53
61,VERSTAPPEN,139,Sector 3,34 / 53
71,VERSTAPPEN,131,Sector 3,34 / 53
81,VERSTAPPEN,128,Sector 3,34 / 53
91,VERSTAPPEN,123,Sector 3,34 / 53
101,VERSTAPPEN,121,Sector 3,34 / 53
111,VERSTAPPEN,119,Sector 3,34 / 53
121,VERSTAPPEN,119,Sector 3,34 / 53
131,VERSTAPPEN,119,Sector 3,34 / 53
141,VERSTAPPEN,124,Sector 3,34 / 53
151,VERSTAPPEN,126,Sector 3,34 / 53
161,VERSTAPPEN,139,Sector 3,34 / 53
171,VERSTAPPEN,151,Sector 3,34 / 53
181,VERSTAPPEN,159,Sector 3,34 / 53
191,VERSTAPPEN,177,Sector 3,34 / 53
201,VERSTAPPEN,188,Sector 3,34 / 53
211,VERSTAPPEN,199,Sector 3,34 / 53
221,VERSTAPPEN,208,Sector 3,34 / 53
231,VERSTAPPEN,219,Sector 3,34 / 53
241,VERSTAPPEN,225,Sector 3,34 / 53
251,VERSTAPPEN,230,Sector 3,34 / 53
261,VERSTAPPEN,235,Sector 3,34 / 53
271,VERSTAPPEN,239,Sector 3,34 / 53
281,VERSTAPPEN,243,Sector 3,34 / 53
291,VERSTAPPEN,249,Sector 3,34 / 53
301,VERSTAPPEN,252,Sector 3,34 / 53
311,VERSTAPPEN,256,Sector 3,35 / 53
321,VERSTAPPEN,257,Sector 3,35 / 53
331,VERSTAPPEN,261,Sector 3,35 / 53
341,VERSTAPPEN,257,Sector 3,35 / 53
351,VERSTAPPEN,237,Sector 3,35 / 53
361,VERSTAPPEN,221,Sector 3,35 / 53
371,VERSTAPPEN,199,Sector 3,35 / 53
381,VERSTAPPEN,187,Sector 3,35 / 53
391,VERSTAPPEN,175,Sector 3,35 / 53
401,VERSTAPPEN,167,Sector 3,35 / 53
411,VERSTAPPEN,159,Sector 3,35 / 53
421,VERSTAPPEN,154,Sector 3,35 / 53
431,VERSTAPPEN,149,Sector 3,35 / 53
441,VERSTAPPEN,144,Sector 3,35 / 53
451,VERSTAPPEN,143,Sector 3,35 / 53
461,VERSTAPPEN,143,Sector 3,35 / 53
471,VERSTAPPEN,146,Sector 3,35 / 53
481,VERSTAPPEN,149,Sector 3,35 / 53
491,VERSTAPPEN,146,Sector 3,35 / 53
501,VERSTAPPEN,129,Sector 3,35 / 53
511,VERSTAPPEN,112,Sector 3,35 / 53
521,VERSTAPPEN,100,Sector 3,35 / 53
531,VERSTAPPEN,94,Sector 3,35 / 53
541,VERSTAPPEN,90,Sector 3,35 / 53
551,VERSTAPPEN,86,Sector 3,35 / 53
561,VERSTAPPEN,80,Sector 3,35 / 53
571,VERSTAPPEN,80,Sector 3,35 / 53
581,VERSTAPPEN,84,Sector 3,35 / 53
591,VERSTAPPEN,88,Sector 3,35 / 53
601,VERSTAPPEN,98,Sector 3,35 / 53
611,VERSTAPPEN,106,Sector 3,35 / 53
621,VERSTAPPEN,122,Sector 3,35 / 53
631,VERSTAPPEN,139,Sector 3,35 / 53
641,VERSTAPPEN,146,Sector 3,35 / 53
651,VERSTAPPEN,167,Sector 3,35 / 53
661,VERSTAPPEN,182,Sector 3,35 / 53
671,VERSTAPPEN,195,Sector 3,35 / 53
681,VERSTAPPEN,203,Sector 3,35 / 53
691,VERSTAPPEN,214,Sector 3,35 / 53
701,VERSTAPPEN,224,Sector 3,35 / 53
711,VERSTAPPEN,232,Sector 3,35 / 53
721,VERSTAPPEN,238,Sector 3,35 / 53
731,VERSTAPPEN,247,Sector 3,35 / 53
741,VERSTAPPEN,252,Sector 3,35 / 53
751,VERSTAPPEN,261,Sector 3,35 / 53
761,VERSTAPPEN,265,Sector 3,35 / 53
771,VERSTAPPEN,271,Sector 3,35 / 53
781,VERSTAPPEN,275,Sector 3,35 / 53
791,VERSTAPPEN,280,Sector 3,35 / 53
801,VERSTAPPEN,285,Sector 3,35 / 53
811,VERSTAPPEN,288,Sector 3,35 / 53
821,VERSTAPPEN,292,Sector 3,35 / 53
831,VERSTAPPEN,294,Sector 3,35 / 53
841,VERSTAPPEN,297,Sector 3,35 / 53
851,VERSTAPPEN,301,Sector 3,35 / 53
861,VERSTAPPEN,304,Sector 1,35 / 53
871,VERSTAPPEN,305,Sector 1,35 / 53
881,VERSTAPPEN,308,Sector 1,35 / 53
891,VERSTAPPEN,308,Sector 1,35 / 53
901,VERSTAPPEN,309,Sector 1,35 / 53
911,VERSTAPPEN,309,Sector 1,35 / 53
921,VERSTAPPEN,309,Sector 1,35 / 53
931,VERSTAPPEN,309,Sector 1,35 / 53
941,VERSTAPPEN,309,Sector 1,35 / 53
951,VERSTAPPEN,309,Sector 1,35 / 53
961,VERSTAPPEN,308,Sector 1,35 / 53
971,VERSTAPPEN,307,Sector 1,35 / 53
981,VERSTAPPEN,301,Sector 1,35 / 53
991,VERSTAPPEN,283,Sector 1,35 / 53
1001,VERSTAPPEN,264,Sector 1,35 / 53
1011,VERSTAPPEN,217,Sector 1,35 / 53
1021,VERSTAPPEN,201,Sector 1,35 / 53
1031,VERSTAPPEN,185,Sector 1,35 / 53
1041,VERSTAPPEN,171,Sector 1,35 / 53
1051,VERSTAPPEN,161,Sector 1,35 / 53
1061,VERSTAPPEN,160,Sector 1,35 / 53
1071,VERSTAPPEN,163,Sector 1,35 / 53
1081,VERSTAPPEN,169,Sector 1,35 / 53
1091,VERSTAPPEN,180,Sector 1,35 / 53
1101,VERSTAPPEN,184,Sector 1,35 / 53
1111,VERSTAPPEN,185,Sector 1,35 / 53
