,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,57,NORRIS,297,Sector 1,Q1,1:04.345,0.029962885154061626
0,58,NORRIS,297,Sector 1,Q1,1:04.345,0.029962885154061626
0,59,NORRIS,298,Sector 1,Q1,1:04.345,0.029962885154061626
0,60,NORRIS,298,Sector 1,Q1,1:04.345,0.029962885154061626
0,61,NORRIS,299,Sector 1,Q1,1:04.345,0.029962885154061626
0,62,NORRIS,299,Sector 1,Q1,1:04.345,0.029962885154061626
0,63,NORRIS,299,Sector 1,Q1,1:04.345,0.029962885154061626
0,64,NORRIS,299,Sector 1,Q1,1:04.345,0.029962885154061626
0,65,NORRIS,300,Sector 1,Q1,1:04.345,0.029962885154061626
0,66,NORRIS,300,Sector 1,Q1,1:04.345,0.029962885154061626
0,67,NORRIS,301,Sector 1,Q1,1:04.345,0.029962885154061626
0,68,NORRIS,301,Sector 1,Q1,1:04.345,0.029962885154061626
0,69,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,70,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,71,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,72,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,73,NORRIS,303,Sector 1,Q1,1:04.345,0.029962885154061626
0,74,NORRIS,303,Sector 1,Q1,1:04.345,0.029962885154061626
0,75,NORRIS,303,Sector 1,Q1,1:04.345,0.029962885154061626
0,76,NORRIS,303,Sector 1,Q1,1:04.345,0.029962885154061626
0,77,NORRIS,304,Sector 1,Q1,1:04.345,0.029962885154061626
0,78,NORRIS,304,Sector 1,Q1,1:04.345,0.029962885154061626
0,79,NORRIS,304,Sector 1,Q1,1:04.345,0.029962885154061626
0,80,NORRIS,304,Sector 1,Q1,1:04.345,0.029962885154061626
0,81,NORRIS,305,Sector 1,Q1,1:04.345,0.029962885154061626
0,82,NORRIS,305,Sector 1,Q1,1:04.345,0.029962885154061626
0,83,NORRIS,305,Sector 1,Q1,1:04.345,0.029962885154061626
0,84,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,85,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,86,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,87,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,88,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,89,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,90,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,91,NORRIS,306,Sector 1,Q1,1:04.345,0.029962885154061626
0,92,NORRIS,307,Sector 1,Q1,1:04.345,0.029962885154061626
0,93,NORRIS,307,Sector 1,Q1,1:04.345,0.029962885154061626
0,94,NORRIS,308,Sector 1,Q1,1:04.345,0.029962885154061626
0,95,NORRIS,308,Sector 1,Q1,1:04.345,0.029962885154061626
0,96,NORRIS,308,Sector 1,Q1,1:04.345,0.029962885154061626
0,97,NORRIS,309,Sector 1,Q1,1:04.345,0.029962885154061626
0,98,NORRIS,309,Sector 1,Q1,1:04.345,0.029962885154061626
0,99,NORRIS,310,Sector 1,Q1,1:04.345,0.029962885154061626
0,100,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,101,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,102,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,103,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,104,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,105,NORRIS,311,Sector 1,Q1,1:04.345,0.029962885154061626
0,106,NORRIS,312,Sector 1,Q1,1:04.345,0.029962885154061626
0,107,NORRIS,313,Sector 1,Q1,1:04.345,0.029962885154061626
0,108,NORRIS,313,Sector 1,Q1,1:04.345,0.029962885154061626
0,109,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,110,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,111,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,112,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,113,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,114,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,115,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,116,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,117,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,118,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,119,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,120,NORRIS,314,Sector 1,Q1,1:04.345,0.029962885154061626
0,121,NORRIS,315,Sector 1,Q1,1:04.345,0.029962885154061626
0,122,NORRIS,315,Sector 1,Q1,1:04.345,0.029962885154061626
0,123,NORRIS,315,Sector 1,Q1,1:04.345,0.029962885154061626
0,124,NORRIS,316,Sector 1,Q1,1:04.345,0.029962885154061626
0,125,NORRIS,316,Sector 1,Q1,1:04.345,0.029962885154061626
0,126,NORRIS,316,Sector 1,Q1,1:04.345,0.029962885154061626
0,127,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,128,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,129,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,130,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,131,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,132,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,133,NORRIS,317,Sector 1,Q1,1:04.345,0.029962885154061626
0,134,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,135,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,136,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,137,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,138,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,139,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,140,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,141,NORRIS,318,Sector 1,Q1,1:04.345,0.029962885154061626
0,142,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,143,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,144,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,145,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,146,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,147,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,148,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,149,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,150,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,151,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,152,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,153,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,154,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,155,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,156,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,157,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,158,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,159,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,160,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,161,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,162,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,163,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,164,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,165,NORRIS,321,Sector 1,Q1,1:04.345,0.029962885154061626
0,166,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,167,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,168,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,169,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,170,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,171,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,172,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,173,NORRIS,320,Sector 1,Q1,1:04.345,0.029962885154061626
0,174,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,175,NORRIS,319,Sector 1,Q1,1:04.345,0.029962885154061626
0,176,NORRIS,312,Sector 1,Q1,1:04.345,0.029962885154061626
0,177,NORRIS,309,Sector 1,Q1,1:04.345,0.029962885154061626
0,178,NORRIS,309,Sector 1,Q1,1:04.345,0.029962885154061626
0,179,NORRIS,309,Sector 1,Q1,1:04.345,0.029962885154061626
0,180,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,181,NORRIS,302,Sector 1,Q1,1:04.345,0.029962885154061626
0,182,NORRIS,293,Sector 1,Q1,1:04.345,0.029962885154061626
0,183,NORRIS,287,Sector 1,Q1,1:04.345,0.029962885154061626
0,184,NORRIS,280,Sector 1,Q1,1:04.345,0.029962885154061626
0,185,NORRIS,280,Sector 1,Q1,1:04.345,0.029962885154061626
0,186,NORRIS,266,Sector 1,Q1,1:04.345,0.029962885154061626
0,187,NORRIS,259,Sector 1,Q1,1:04.345,0.029962885154061626
0,188,NORRIS,259,Sector 1,Q1,1:04.345,0.029962885154061626
0,189,NORRIS,252,Sector 1,Q1,1:04.345,0.029962885154061626
0,190,NORRIS,246,Sector 1,Q1,1:04.345,0.029962885154061626
0,191,NORRIS,246,Sector 1,Q1,1:04.345,0.029962885154061626
0,192,NORRIS,238,Sector 1,Q1,1:04.345,0.029962885154061626
0,193,NORRIS,234,Sector 1,Q1,1:04.345,0.029962885154061626
0,194,NORRIS,234,Sector 1,Q1,1:04.345,0.029962885154061626
0,195,NORRIS,226,Sector 1,Q1,1:04.345,0.029962885154061626
0,196,NORRIS,226,Sector 1,Q1,1:04.345,0.029962885154061626
0,197,NORRIS,222,Sector 1,Q1,1:04.345,0.029962885154061626
