,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,145,RICCIARDO,296,Sector 1,Q1,1:04.977,0.029291531
0,146,RICCIARDO,297,Sector 1,Q1,1:04.977,0.029291531
0,147,RICCIARDO,297,Sector 1,Q1,1:04.977,0.029291531
0,148,RICCIARDO,297,Sector 1,Q1,1:04.977,0.029291531
0,149,RICCIARDO,298,Sector 1,Q1,1:04.977,0.029291531
0,150,RICCIARDO,298,Sector 1,Q1,1:04.977,0.029291531
0,151,RICCIARDO,298,Sector 1,Q1,1:04.977,0.029291531
0,152,RICCIARDO,299,Sector 1,Q1,1:04.977,0.029291531
0,153,RICCIARDO,299,Sector 1,Q1,1:04.977,0.029291531
0,154,RICCIARDO,299,Sector 1,Q1,1:04.977,0.029291531
0,155,RICCIARDO,300,Sector 1,Q1,1:04.977,0.029291531
0,156,RICCIARDO,301,Sector 1,Q1,1:04.977,0.029291531
0,157,RICCIARDO,301,Sector 1,Q1,1:04.977,0.029291531
0,158,RICCIARDO,301,Sector 1,Q1,1:04.977,0.029291531
0,159,RICCIARDO,301,Sector 1,Q1,1:04.977,0.029291531
0,160,RICCIARDO,301,Sector 1,Q1,1:04.977,0.029291531
0,161,RICCIARDO,302,Sector 1,Q1,1:04.977,0.029291531
0,162,RICCIARDO,303,Sector 1,Q1,1:04.977,0.029291531
0,163,RICCIARDO,303,Sector 1,Q1,1:04.977,0.029291531
0,164,RICCIARDO,303,Sector 1,Q1,1:04.977,0.029291531
0,165,RICCIARDO,303,Sector 1,Q1,1:04.977,0.029291531
0,166,RICCIARDO,303,Sector 1,Q1,1:04.977,0.029291531
0,167,RICCIARDO,304,Sector 1,Q1,1:04.977,0.029291531
0,168,RICCIARDO,304,Sector 1,Q1,1:04.977,0.029291531
0,169,RICCIARDO,304,Sector 1,Q1,1:04.977,0.029291531
0,170,RICCIARDO,305,Sector 1,Q1,1:04.977,0.029291531
0,171,RICCIARDO,305,Sector 1,Q1,1:04.977,0.029291531
0,172,RICCIARDO,305,Sector 1,Q1,1:04.977,0.029291531
