,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,130,ALONSO,288,Sector 1,Q2,1:04.856,0.029543700027570997
0,131,ALONSO,288,Sector 1,Q2,1:04.856,0.029543700027570997
0,132,ALONSO,290,Sector 1,Q2,1:04.856,0.029543700027570997
0,133,ALONSO,290,Sector 1,Q2,1:04.856,0.029543700027570997
0,134,ALONSO,291,Sector 1,Q2,1:04.856,0.029543700027570997
0,135,ALONSO,291,Sector 1,Q2,1:04.856,0.029543700027570997
0,136,ALONSO,291,Sector 1,Q2,1:04.856,0.029543700027570997
0,137,ALONSO,291,Sector 1,Q2,1:04.856,0.029543700027570997
0,138,ALONSO,292,Sector 1,Q2,1:04.856,0.029543700027570997
0,139,ALONSO,292,Sector 1,Q2,1:04.856,0.029543700027570997
0,140,ALONSO,293,Sector 1,Q2,1:04.856,0.029543700027570997
0,141,ALONSO,293,Sector 1,Q2,1:04.856,0.029543700027570997
0,142,ALONSO,294,Sector 1,Q2,1:04.856,0.029543700027570997
0,143,ALONSO,294,Sector 1,Q2,1:04.856,0.029543700027570997
0,144,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,145,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,146,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,147,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,148,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,149,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,150,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,151,ALONSO,295,Sector 1,Q2,1:04.856,0.029543700027570997
0,152,ALONSO,296,Sector 1,Q2,1:04.856,0.029543700027570997
0,153,ALONSO,296,Sector 1,Q2,1:04.856,0.029543700027570997
0,154,ALONSO,296,Sector 1,Q2,1:04.856,0.029543700027570997
0,155,ALONSO,296,Sector 1,Q2,1:04.856,0.029543700027570997
0,156,ALONSO,297,Sector 1,Q2,1:04.856,0.029543700027570997
0,157,ALONSO,297,Sector 1,Q2,1:04.856,0.029543700027570997
0,158,ALONSO,298,Sector 1,Q2,1:04.856,0.029543700027570997
0,159,ALONSO,298,Sector 1,Q2,1:04.856,0.029543700027570997
0,160,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,161,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,162,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,163,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,164,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,165,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,166,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,167,ALONSO,299,Sector 1,Q2,1:04.856,0.029543700027570997
0,168,ALONSO,300,Sector 1,Q2,1:04.856,0.029543700027570997
0,169,ALONSO,300,Sector 1,Q2,1:04.856,0.029543700027570997
