,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,120,HAMILTON,290,Sector 1,Q2,1:04.258,0.029549221317331047
0,121,HAMILTON,290,Sector 1,Q2,1:04.258,0.029549221317331047
0,122,HAMILTON,290,Sector 1,Q2,1:04.258,0.029549221317331047
0,123,HAMILTON,292,Sector 1,Q2,1:04.258,0.029549221317331047
0,124,HAMILTON,292,Sector 1,Q2,1:04.258,0.029549221317331047
0,125,HAMILTON,292,Sector 1,Q2,1:04.258,0.029549221317331047
0,126,HAMILTON,293,Sector 1,Q2,1:04.258,0.029549221317331047
0,127,HAMILTON,294,Sector 1,Q2,1:04.258,0.029549221317331047
0,128,HAMILTON,294,Sector 1,Q2,1:04.258,0.029549221317331047
0,129,HAMILTON,294,Sector 1,Q2,1:04.258,0.029549221317331047
0,130,HAMILTON,294,Sector 1,Q2,1:04.258,0.029549221317331047
0,131,HAMILTON,294,Sector 1,Q2,1:04.258,0.029549221317331047
0,132,HAMILTON,295,Sector 1,Q2,1:04.258,0.029549221317331047
0,133,HAMILTON,295,Sector 1,Q2,1:04.258,0.029549221317331047
0,134,HAMILTON,295,Sector 1,Q2,1:04.258,0.029549221317331047
0,135,HAMILTON,296,Sector 1,Q2,1:04.258,0.029549221317331047
0,136,HAMILTON,296,Sector 1,Q2,1:04.258,0.029549221317331047
0,137,HAMILTON,297,Sector 1,Q2,1:04.258,0.029549221317331047
0,138,HAMILTON,297,Sector 1,Q2,1:04.258,0.029549221317331047
0,139,HAMILTON,297,Sector 1,Q2,1:04.258,0.029549221317331047
0,140,HAMILTON,297,Sector 1,Q2,1:04.258,0.029549221317331047
0,141,HAMILTON,298,Sector 1,Q2,1:04.258,0.029549221317331047
0,142,HAMILTON,298,Sector 1,Q2,1:04.258,0.029549221317331047
0,143,HAMILTON,298,Sector 1,Q2,1:04.258,0.029549221317331047
0,144,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,145,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,146,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,147,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,148,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,149,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,150,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,151,HAMILTON,299,Sector 1,Q2,1:04.258,0.029549221317331047
0,152,HAMILTON,300,Sector 1,Q2,1:04.258,0.029549221317331047
0,153,HAMILTON,300,Sector 1,Q2,1:04.258,0.029549221317331047
0,154,HAMILTON,300,Sector 1,Q2,1:04.258,0.029549221317331047
0,155,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,156,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,157,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,158,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,159,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,160,HAMILTON,301,Sector 1,Q2,1:04.258,0.029549221317331047
0,161,HAMILTON,302,Sector 1,Q2,1:04.258,0.029549221317331047
0,162,HAMILTON,302,Sector 1,Q2,1:04.258,0.029549221317331047
0,163,HAMILTON,302,Sector 1,Q2,1:04.258,0.029549221317331047
0,164,HAMILTON,302,Sector 1,Q2,1:04.258,0.029549221317331047
0,165,HAMILTON,303,Sector 1,Q2,1:04.258,0.029549221317331047
0,166,HAMILTON,303,Sector 1,Q2,1:04.258,0.029549221317331047
0,167,HAMILTON,303,Sector 1,Q2,1:04.258,0.029549221317331047
0,168,HAMILTON,303,Sector 1,Q2,1:04.258,0.029549221317331047
0,169,HAMILTON,304,Sector 1,Q2,1:04.258,0.029549221317331047
0,170,HAMILTON,304,Sector 1,Q2,1:04.258,0.029549221317331047
0,171,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,172,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,173,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,174,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,175,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,176,HAMILTON,305,Sector 1,Q2,1:04.258,0.029549221317331047
0,177,HAMILTON,306,Sector 1,Q2,1:04.258,0.029549221317331047
0,178,HAMILTON,306,Sector 1,Q2,1:04.258,0.029549221317331047
0,179,HAMILTON,306,Sector 1,Q2,1:04.258,0.029549221317331047
0,180,HAMILTON,306,Sector 1,Q2,1:04.258,0.029549221317331047
0,181,HAMILTON,306,Sector 1,Q2,1:04.258,0.029549221317331047
0,182,HAMILTON,307,Sector 1,Q2,1:04.258,0.029549221317331047
0,183,HAMILTON,307,Sector 1,Q2,1:04.258,0.029549221317331047
0,184,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,185,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,186,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,187,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,188,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,189,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,190,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,191,HAMILTON,308,Sector 1,Q2,1:04.258,0.029549221317331047
0,192,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,193,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,194,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,195,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,196,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,197,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,198,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,199,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,200,HAMILTON,309,Sector 1,Q2,1:04.258,0.029549221317331047
0,201,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,202,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,203,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,204,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,205,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,206,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,207,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,208,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,209,HAMILTON,310,Sector 1,Q2,1:04.258,0.029549221317331047
0,210,HAMILTON,311,Sector 1,Q2,1:04.258,0.029549221317331047
0,211,HAMILTON,311,Sector 1,Q2,1:04.258,0.029549221317331047
0,212,HAMILTON,311,Sector 1,Q2,1:04.258,0.029549221317331047
0,213,HAMILTON,312,Sector 1,Q2,1:04.258,0.029549221317331047
0,214,HAMILTON,312,Sector 1,Q2,1:04.258,0.029549221317331047
0,215,HAMILTON,312,Sector 1,Q2,1:04.258,0.029549221317331047
0,216,HAMILTON,312,Sector 1,Q2,1:04.258,0.029549221317331047
0,217,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,218,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,219,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,220,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,221,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,222,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,223,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,224,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,225,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,226,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
0,227,HAMILTON,313,Sector 1,Q2,1:04.258,0.029549221317331047
