,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,168,RUSSELL,294,Sector 1,Q2,1:04.553.,0.02950654786013231
0,169,RUSSELL,295,Sector 1,Q2,1:04.553.,0.02950654786013231
0,170,RUSSELL,295,Sector 1,Q2,1:04.553.,0.02950654786013231
0,171,RUSSELL,295,Sector 1,Q2,1:04.553.,0.02950654786013231
0,172,RUSSELL,295,Sector 1,Q2,1:04.553.,0.02950654786013231
0,173,RUSSELL,296,Sector 1,Q2,1:04.553.,0.02950654786013231
0,174,RUSSELL,296,Sector 1,Q2,1:04.553.,0.02950654786013231
0,175,RUSSELL,296,Sector 1,Q2,1:04.553.,0.02950654786013231
0,176,RUSSELL,297,Sector 1,Q2,1:04.553.,0.02950654786013231
0,177,RUSSELL,297,Sector 1,Q2,1:04.553.,0.02950654786013231
0,178,RUSSELL,298,Sector 1,Q2,1:04.553.,0.02950654786013231
0,179,RUSSELL,298,Sector 1,Q2,1:04.553.,0.02950654786013231
0,180,RUSSELL,299,Sector 1,Q2,1:04.553.,0.02950654786013231
0,181,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,182,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,183,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,184,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,185,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,186,RUSSELL,300,Sector 1,Q2,1:04.553.,0.02950654786013231
0,187,RUSSELL,301,Sector 1,Q2,1:04.553.,0.02950654786013231
0,188,RUSSELL,301,Sector 1,Q2,1:04.553.,0.02950654786013231
0,189,RUSSELL,302,Sector 1,Q2,1:04.553.,0.02950654786013231
0,190,RUSSELL,302,Sector 1,Q2,1:04.553.,0.02950654786013231
0,191,RUSSELL,302,Sector 1,Q2,1:04.553.,0.02950654786013231
0,192,RUSSELL,302,Sector 1,Q2,1:04.553.,0.02950654786013231
0,193,RUSSELL,302,Sector 1,Q2,1:04.553.,0.02950654786013231
0,194,RUSSELL,303,Sector 1,Q2,1:04.553.,0.02950654786013231
0,195,RUSSELL,304,Sector 1,Q2,1:04.553.,0.02950654786013231
0,196,RUSSELL,304,Sector 1,Q2,1:04.553.,0.02950654786013231
0,197,RUSSELL,305,Sector 1,Q2,1:04.553.,0.02950654786013231
0,198,RUSSELL,305,Sector 1,Q2,1:04.553.,0.02950654786013231
0,199,RUSSELL,305,Sector 1,Q2,1:04.553.,0.02950654786013231
0,200,RUSSELL,305,Sector 1,Q2,1:04.553.,0.02950654786013231
0,201,RUSSELL,305,Sector 1,Q2,1:04.553.,0.02950654786013231
0,202,RUSSELL,306,Sector 1,Q2,1:04.553.,0.02950654786013231
0,203,RUSSELL,306,Sector 1,Q2,1:04.553.,0.02950654786013231
0,204,RUSSELL,306,Sector 1,Q2,1:04.553.,0.02950654786013231
0,205,RUSSELL,307,Sector 1,Q2,1:04.553.,0.02950654786013231
0,206,RUSSELL,307,Sector 1,Q2,1:04.553.,0.02950654786013231
0,207,RUSSELL,307,Sector 1,Q2,1:04.553.,0.02950654786013231
0,208,RUSSELL,307,Sector 1,Q2,1:04.553.,0.02950654786013231
0,209,RUSSELL,307,Sector 1,Q2,1:04.553.,0.02950654786013231
0,210,RUSSELL,308,Sector 1,Q2,1:04.553.,0.02950654786013231
0,211,RUSSELL,308,Sector 1,Q2,1:04.553.,0.02950654786013231
0,212,RUSSELL,308,Sector 1,Q2,1:04.553.,0.02950654786013231
0,213,RUSSELL,309,Sector 1,Q2,1:04.553.,0.02950654786013231
0,214,RUSSELL,309,Sector 1,Q2,1:04.553.,0.02950654786013231
0,215,RUSSELL,310,Sector 1,Q2,1:04.553.,0.02950654786013231
0,216,RUSSELL,310,Sector 1,Q2,1:04.553.,0.02950654786013231
0,217,RUSSELL,311,Sector 1,Q2,1:04.553.,0.02950654786013231
0,218,RUSSELL,311,Sector 1,Q2,1:04.553.,0.02950654786013231
0,219,RUSSELL,312,Sector 1,Q2,1:04.553.,0.02950654786013231
0,220,RUSSELL,312,Sector 1,Q2,1:04.553.,0.02950654786013231
0,221,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,222,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,223,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,224,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,225,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,226,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,227,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,228,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,229,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,230,RUSSELL,313,Sector 1,Q2,1:04.553.,0.02950654786013231
0,231,RUSSELL,314,Sector 1,Q2,1:04.553.,0.02950654786013231
0,232,RUSSELL,314,Sector 1,Q2,1:04.553.,0.02950654786013231
0,233,RUSSELL,314,Sector 1,Q2,1:04.553.,0.02950654786013231
0,234,RUSSELL,315,Sector 1,Q2,1:04.553.,0.02950654786013231
0,235,RUSSELL,315,Sector 1,Q2,1:04.553.,0.02950654786013231
0,236,RUSSELL,315,Sector 1,Q2,1:04.553.,0.02950654786013231
0,237,RUSSELL,315,Sector 1,Q2,1:04.553.,0.02950654786013231
0,238,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,239,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,240,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,241,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,242,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,243,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,244,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,245,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,246,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,247,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,248,RUSSELL,316,Sector 1,Q2,1:04.553.,0.02950654786013231
0,249,RUSSELL,317,Sector 1,Q2,1:04.553.,0.02950654786013231
0,250,RUSSELL,317,Sector 1,Q2,1:04.553.,0.02950654786013231
0,251,RUSSELL,317,Sector 1,Q2,1:04.553.,0.02950654786013231
0,252,RUSSELL,317,Sector 1,Q2,1:04.553.,0.02950654786013231
0,253,RUSSELL,317,Sector 1,Q2,1:04.553.,0.02950654786013231
0,254,RUSSELL,318,Sector 1,Q2,1:04.553.,0.02950654786013231
0,255,RUSSELL,318,Sector 1,Q2,1:04.553.,0.02950654786013231
0,256,RUSSELL,318,Sector 1,Q2,1:04.553.,0.02950654786013231
0,257,RUSSELL,319,Sector 1,Q2,1:04.553.,0.02950654786013231
0,258,RUSSELL,319,Sector 1,Q2,1:04.553.,0.02950654786013231
0,259,RUSSELL,319,Sector 1,Q2,1:04.553.,0.02950654786013231
0,260,RUSSELL,319,Sector 1,Q2,1:04.553.,0.02950654786013231
0,261,RUSSELL,319,Sector 1,Q2,1:04.553.,0.02950654786013231
0,262,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,263,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,264,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,265,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,266,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,267,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,268,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,269,RUSSELL,320,Sector 1,Q2,1:04.553.,0.02950654786013231
0,270,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,271,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,272,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,273,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,274,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,275,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,276,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,277,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,278,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,279,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,280,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,281,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,282,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,283,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
0,284,RUSSELL,321,Sector 1,Q2,1:04.553.,0.02950654786013231
