,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,181,VERSTAPPEN,292,Sector 1,Q2,1:03.927,0.02868261
0,182,VERSTAPPEN,293,Sector 1,Q2,1:03.927,0.02868261
0,183,VERSTAPPEN,293,Sector 1,Q2,1:03.927,0.02868261
0,184,VERSTAPPEN,293,Sector 1,Q2,1:03.927,0.02868261
0,185,VERSTAPPEN,293,Sector 1,Q2,1:03.927,0.02868261
0,186,VERSTAPPEN,294,Sector 1,Q2,1:03.927,0.02868261
0,187,VERSTAPPEN,294,Sector 1,Q2,1:03.927,0.02868261
0,188,VERSTAPPEN,295,Sector 1,Q2,1:03.927,0.02868261
0,189,VERSTAPPEN,295,Sector 1,Q2,1:03.927,0.02868261
0,190,VERSTAPPEN,295,Sector 1,Q2,1:03.927,0.02868261
0,191,VERSTAPPEN,296,Sector 1,Q2,1:03.927,0.02868261
0,192,VERSTAPPEN,296,Sector 1,Q2,1:03.927,0.02868261
0,193,VERSTAPPEN,297,Sector 1,Q2,1:03.927,0.02868261
0,194,VERSTAPPEN,297,Sector 1,Q2,1:03.927,0.02868261
0,195,VERSTAPPEN,298,Sector 1,Q2,1:03.927,0.02868261
0,196,VERSTAPPEN,298,Sector 1,Q2,1:03.927,0.02868261
0,197,VERSTAPPEN,298,Sector 1,Q2,1:03.927,0.02868261
0,198,VERSTAPPEN,298,Sector 1,Q2,1:03.927,0.02868261
0,199,VERSTAPPEN,299,Sector 1,Q2,1:03.927,0.02868261
0,200,VERSTAPPEN,299,Sector 1,Q2,1:03.927,0.02868261
0,201,VERSTAPPEN,299,Sector 1,Q2,1:03.927,0.02868261
0,202,VERSTAPPEN,299,Sector 1,Q2,1:03.927,0.02868261
0,203,VERSTAPPEN,299,Sector 1,Q2,1:03.927,0.02868261
0,204,VERSTAPPEN,300,Sector 1,Q2,1:03.927,0.02868261
0,205,VERSTAPPEN,300,Sector 1,Q2,1:03.927,0.02868261
0,206,VERSTAPPEN,300,Sector 1,Q2,1:03.927,0.02868261
0,207,VERSTAPPEN,300,Sector 1,Q2,1:03.927,0.02868261
0,208,VERSTAPPEN,301,Sector 1,Q2,1:03.927,0.02868261
0,209,VERSTAPPEN,301,Sector 1,Q2,1:03.927,0.02868261
0,210,VERSTAPPEN,301,Sector 1,Q2,1:03.927,0.02868261
0,211,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,212,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,213,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,214,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,215,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,216,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,217,VERSTAPPEN,302,Sector 1,Q2,1:03.927,0.02868261
0,218,VERSTAPPEN,303,Sector 1,Q2,1:03.927,0.02868261
0,219,VERSTAPPEN,303,Sector 1,Q2,1:03.927,0.02868261
0,220,VERSTAPPEN,303,Sector 1,Q2,1:03.927,0.02868261
0,221,VERSTAPPEN,304,Sector 1,Q2,1:03.927,0.02868261
0,222,VERSTAPPEN,304,Sector 1,Q2,1:03.927,0.02868261
0,223,VERSTAPPEN,304,Sector 1,Q2,1:03.927,0.02868261
0,224,VERSTAPPEN,305,Sector 1,Q2,1:03.927,0.02868261
0,225,VERSTAPPEN,305,Sector 1,Q2,1:03.927,0.02868261
