,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,94,PEREZ,294,Sector 1,Q3,01:04.990,0.029698264
0,95,PEREZ,294,Sector 1,Q3,01:04.990,0.029698264
0,96,PEREZ,294,Sector 1,Q3,01:04.990,0.029698264
0,97,PEREZ,295,Sector 1,Q3,01:04.990,0.029698264
0,98,PEREZ,295,Sector 1,Q3,01:04.990,0.029698264
0,99,PEREZ,296,Sector 1,Q3,01:04.990,0.029698264
0,100,PEREZ,296,Sector 1,Q3,01:04.990,0.029698264
0,101,PEREZ,296,Sector 1,Q3,01:04.990,0.029698264
0,102,PEREZ,296,Sector 1,Q3,01:04.990,0.029698264
0,103,PEREZ,296,Sector 1,Q3,01:04.990,0.029698264
0,104,PEREZ,298,Sector 1,Q3,01:04.990,0.029698264
0,105,PEREZ,298,Sector 1,Q3,01:04.990,0.029698264
0,106,PEREZ,299,Sector 1,Q3,01:04.990,0.029698264
0,107,PEREZ,299,Sector 1,Q3,01:04.990,0.029698264
0,108,PEREZ,299,Sector 1,Q3,01:04.990,0.029698264
0,109,PEREZ,300,Sector 1,Q3,01:04.990,0.029698264
0,110,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,111,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,112,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,113,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,114,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,115,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,116,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,117,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,118,PEREZ,301,Sector 1,Q3,01:04.990,0.029698264
0,119,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,120,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,121,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,122,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,123,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,124,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,125,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,126,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,127,PEREZ,302,Sector 1,Q3,01:04.990,0.029698264
0,128,PEREZ,304,Sector 1,Q3,01:04.990,0.029698264
0,129,PEREZ,304,Sector 1,Q3,01:04.990,0.029698264
0,130,PEREZ,306,Sector 1,Q3,01:04.990,0.029698264
0,131,PEREZ,307,Sector 1,Q3,01:04.990,0.029698264
0,132,PEREZ,308,Sector 1,Q3,01:04.990,0.029698264
0,133,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,134,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,135,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,136,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,137,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,138,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,139,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,140,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,141,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,142,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,143,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,144,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,145,PEREZ,309,Sector 1,Q3,01:04.990,0.029698264
0,146,PEREZ,310,Sector 1,Q3,01:04.990,0.029698264
0,147,PEREZ,311,Sector 1,Q3,01:04.990,0.029698264
0,148,PEREZ,311,Sector 1,Q3,01:04.990,0.029698264
0,149,PEREZ,312,Sector 1,Q3,01:04.990,0.029698264
0,150,PEREZ,312,Sector 1,Q3,01:04.990,0.029698264
0,151,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,152,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,153,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,154,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,155,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,156,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,157,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,158,PEREZ,313,Sector 1,Q3,01:04.990,0.029698264
0,159,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,160,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,161,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,162,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,163,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,164,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,165,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
0,166,PEREZ,314,Sector 1,Q3,01:04.990,0.029698264
