,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,1,HAMILTON,1,,L1 (Crash),00:55.0,0.029666012
0,2,HAMILTON,1,,L1 (Crash),00:55.0,0.029666012
0,3,HAMILTON,4,,L1 (Crash),00:55.0,0.029666012
0,4,HAMILTON,4,,L1 (Crash),00:55.0,0.029666012
0,5,HAMILTON,6,,L1 (Crash),00:55.0,0.029666012
0,6,HAMILTON,6,,L1 (Crash),00:55.0,0.029666012
0,7,HAMILTON,6,,L1 (Crash),00:55.0,0.029666012
0,8,HAMILTON,8,,L1 (Crash),00:55.0,0.029666012
0,9,HAMILTON,10,,L1 (Crash),00:55.0,0.029666012
0,10,HAMILTON,10,,L1 (Crash),00:55.0,0.029666012
0,11,HAMILTON,12,,L1 (Crash),00:55.0,0.029666012
0,12,HAMILTON,14,,L1 (Crash),00:55.0,0.029666012
0,13,HAMILTON,14,,L1 (Crash),00:55.0,0.029666012
0,14,HAMILTON,17,,L1 (Crash),00:55.0,0.029666012
0,15,HAMILTON,17,,L1 (Crash),00:55.0,0.029666012
0,16,HAMILTON,18,,L1 (Crash),00:55.0,0.029666012
0,17,HAMILTON,19,,L1 (Crash),00:55.0,0.029666012
0,18,HAMILTON,20,,L1 (Crash),00:55.0,0.029666012
0,19,HAMILTON,20,,L1 (Crash),00:55.0,0.029666012
0,20,HAMILTON,22,,L1 (Crash),00:55.0,0.029666012
0,21,HAMILTON,22,,L1 (Crash),00:55.0,0.029666012
0,22,HAMILTON,24,,L1 (Crash),00:55.0,0.029666012
0,23,HAMILTON,24,,L1 (Crash),00:55.0,0.029666012
0,24,HAMILTON,24,,L1 (Crash),00:55.0,0.029666012
0,25,HAMILTON,26,,L1 (Crash),00:55.0,0.029666012
0,26,HAMILTON,26,,L1 (Crash),00:55.0,0.029666012
0,27,HAMILTON,28,,L1 (Crash),00:55.0,0.029666012
0,28,HAMILTON,29,,L1 (Crash),00:55.0,0.029666012
0,29,HAMILTON,29,,L1 (Crash),00:55.0,0.029666012
0,30,HAMILTON,30,,L1 (Crash),00:55.0,0.029666012
0,31,HAMILTON,31,,L1 (Crash),00:55.0,0.029666012
0,32,HAMILTON,31,,L1 (Crash),00:55.0,0.029666012
0,33,HAMILTON,31,,L1 (Crash),00:55.0,0.029666012
0,34,HAMILTON,34,,L1 (Crash),00:55.0,0.029666012
0,35,HAMILTON,35,,L1 (Crash),00:55.0,0.029666012
0,36,HAMILTON,35,,L1 (Crash),00:55.0,0.029666012
0,37,HAMILTON,35,,L1 (Crash),00:55.0,0.029666012
0,38,HAMILTON,37,,L1 (Crash),00:55.0,0.029666012
0,39,HAMILTON,37,,L1 (Crash),00:55.0,0.029666012
0,40,HAMILTON,39,,L1 (Crash),00:55.0,0.029666012
0,41,HAMILTON,39,,L1 (Crash),00:55.0,0.029666012
0,42,HAMILTON,42,,L1 (Crash),00:55.0,0.029666012
0,43,HAMILTON,42,,L1 (Crash),00:55.0,0.029666012
0,44,HAMILTON,42,,L1 (Crash),00:55.0,0.029666012
0,45,HAMILTON,46,,L1 (Crash),00:55.0,0.029666012
0,46,HAMILTON,46,,L1 (Crash),00:55.0,0.029666012
0,47,HAMILTON,47,,L1 (Crash),00:55.0,0.029666012
0,48,HAMILTON,51,,L1 (Crash),00:55.0,0.029666012
0,49,HAMILTON,52,,L1 (Crash),00:55.0,0.029666012
0,50,HAMILTON,54,,L1 (Crash),00:55.0,0.029666012
0,51,HAMILTON,56,,L1 (Crash),00:55.0,0.029666012
0,52,HAMILTON,56,,L1 (Crash),00:55.0,0.029666012
0,53,HAMILTON,56,,L1 (Crash),00:55.0,0.029666012
0,54,HAMILTON,60,,L1 (Crash),00:55.0,0.029666012
0,55,HAMILTON,60,,L1 (Crash),00:55.0,0.029666012
0,56,HAMILTON,63,,L1 (Crash),00:55.0,0.029666012
0,57,HAMILTON,63,,L1 (Crash),00:55.0,0.029666012
0,58,HAMILTON,66,,L1 (Crash),00:55.0,0.029666012
0,59,HAMILTON,67,,L1 (Crash),00:55.0,0.029666012
0,60,HAMILTON,68,,L1 (Crash),00:55.0,0.029666012
0,61,HAMILTON,68,,L1 (Crash),00:55.0,0.029666012
0,62,HAMILTON,68,,L1 (Crash),00:55.0,0.029666012
0,63,HAMILTON,70,,L1 (Crash),00:55.0,0.029666012
0,64,HAMILTON,70,,L1 (Crash),00:55.0,0.029666012
0,65,HAMILTON,72,,L1 (Crash),00:55.0,0.029666012
0,66,HAMILTON,73,,L1 (Crash),00:55.0,0.029666012
0,67,HAMILTON,74,,L1 (Crash),00:55.0,0.029666012
0,68,HAMILTON,75,,L1 (Crash),00:55.0,0.029666012
0,69,HAMILTON,75,,L1 (Crash),00:55.0,0.029666012
0,70,HAMILTON,75,,L1 (Crash),00:55.0,0.029666012
0,71,HAMILTON,77,,L1 (Crash),00:55.0,0.029666012
0,72,HAMILTON,78,,L1 (Crash),00:55.0,0.029666012
0,73,HAMILTON,78,,L1 (Crash),00:55.0,0.029666012
0,74,HAMILTON,81,,L1 (Crash),00:55.0,0.029666012
0,75,HAMILTON,81,,L1 (Crash),00:55.0,0.029666012
0,76,HAMILTON,85,,L1 (Crash),00:55.0,0.029666012
0,77,HAMILTON,85,,L1 (Crash),00:55.0,0.029666012
0,78,HAMILTON,85,,L1 (Crash),00:55.0,0.029666012
0,79,HAMILTON,88,,L1 (Crash),00:55.0,0.029666012
0,80,HAMILTON,88,,L1 (Crash),00:55.0,0.029666012
0,81,HAMILTON,92,,L1 (Crash),00:55.0,0.029666012
0,82,HAMILTON,94,,L1 (Crash),00:55.0,0.029666012
0,83,HAMILTON,94,,L1 (Crash),00:55.0,0.029666012
0,84,HAMILTON,96,,L1 (Crash),00:55.0,0.029666012
0,85,HAMILTON,98,,L1 (Crash),00:55.0,0.029666012
0,86,HAMILTON,98,,L1 (Crash),00:55.0,0.029666012
0,87,HAMILTON,98,,L1 (Crash),00:55.0,0.029666012
0,88,HAMILTON,100,,L1 (Crash),00:55.0,0.029666012
0,89,HAMILTON,100,,L1 (Crash),00:55.0,0.029666012
0,90,HAMILTON,104,,L1 (Crash),00:55.0,0.029666012
0,91,HAMILTON,104,,L1 (Crash),00:55.0,0.029666012
0,92,HAMILTON,108,,L1 (Crash),00:55.0,0.029666012
0,93,HAMILTON,108,,L1 (Crash),00:55.0,0.029666012
0,94,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,95,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,96,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,97,HAMILTON,116,,L1 (Crash),00:55.0,0.029666012
0,98,HAMILTON,118,,L1 (Crash),00:55.0,0.029666012
0,99,HAMILTON,118,,L1 (Crash),00:55.0,0.029666012
0,100,HAMILTON,121,,L1 (Crash),00:55.0,0.029666012
0,101,HAMILTON,123,,L1 (Crash),00:55.0,0.029666012
0,102,HAMILTON,125,,L1 (Crash),00:55.0,0.029666012
0,103,HAMILTON,125,,L1 (Crash),00:55.0,0.029666012
0,104,HAMILTON,130,,L1 (Crash),00:55.0,0.029666012
0,105,HAMILTON,132,,L1 (Crash),00:55.0,0.029666012
0,106,HAMILTON,133,,L1 (Crash),00:55.0,0.029666012
0,107,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,108,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,109,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,110,HAMILTON,137,,L1 (Crash),00:55.0,0.029666012
0,111,HAMILTON,139,,L1 (Crash),00:55.0,0.029666012
0,112,HAMILTON,139,,L1 (Crash),00:55.0,0.029666012
0,113,HAMILTON,143,,L1 (Crash),00:55.0,0.029666012
0,114,HAMILTON,143,,L1 (Crash),00:55.0,0.029666012
0,115,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,116,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,117,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,118,HAMILTON,151,,L1 (Crash),00:55.0,0.029666012
0,119,HAMILTON,154,,L1 (Crash),00:55.0,0.029666012
