,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,0,VERSTAPPEN,2,,L1 (Crash),00:55.0,0.02969296
0,1,VERSTAPPEN,2,,L1 (Crash),00:55.0,0.02969296
0,2,VERSTAPPEN,2,,L1 (Crash),00:55.0,0.02969296
0,3,VERSTAPPEN,3,,L1 (Crash),00:55.0,0.02969296
0,4,VERSTAPPEN,4,,L1 (Crash),00:55.0,0.02969296
0,5,VERSTAPPEN,4,,L1 (Crash),00:55.0,0.02969296
0,6,VERSTAPPEN,6,,L1 (Crash),00:55.0,0.02969296
0,7,VERSTAPPEN,6,,L1 (Crash),00:55.0,0.02969296
0,8,VERSTAPPEN,9,,L1 (Crash),00:55.0,0.02969296
0,9,VERSTAPPEN,9,,L1 (Crash),00:55.0,0.02969296
0,10,VERSTAPPEN,11,,L1 (Crash),00:55.0,0.02969296
0,11,VERSTAPPEN,12,,L1 (Crash),00:55.0,0.02969296
0,12,VERSTAPPEN,14,,L1 (Crash),00:55.0,0.02969296
0,13,VERSTAPPEN,14,,L1 (Crash),00:55.0,0.02969296
0,14,VERSTAPPEN,16,,L1 (Crash),00:55.0,0.02969296
0,15,VERSTAPPEN,17,,L1 (Crash),00:55.0,0.02969296
0,16,VERSTAPPEN,17,,L1 (Crash),00:55.0,0.02969296
0,17,VERSTAPPEN,19,,L1 (Crash),00:55.0,0.02969296
0,18,VERSTAPPEN,19,,L1 (Crash),00:55.0,0.02969296
0,19,VERSTAPPEN,19,,L1 (Crash),00:55.0,0.02969296
0,20,VERSTAPPEN,20,,L1 (Crash),00:55.0,0.02969296
0,21,VERSTAPPEN,20,,L1 (Crash),00:55.0,0.02969296
0,22,VERSTAPPEN,22,,L1 (Crash),00:55.0,0.02969296
0,23,VERSTAPPEN,23,,L1 (Crash),00:55.0,0.02969296
0,24,VERSTAPPEN,24,,L1 (Crash),00:55.0,0.02969296
0,25,VERSTAPPEN,24,,L1 (Crash),00:55.0,0.02969296
0,26,VERSTAPPEN,24,,L1 (Crash),00:55.0,0.02969296
0,27,VERSTAPPEN,25,,L1 (Crash),00:55.0,0.02969296
0,28,VERSTAPPEN,26,,L1 (Crash),00:55.0,0.02969296
0,29,VERSTAPPEN,26,,L1 (Crash),00:55.0,0.02969296
0,30,VERSTAPPEN,28,,L1 (Crash),00:55.0,0.02969296
0,31,VERSTAPPEN,28,,L1 (Crash),00:55.0,0.02969296
0,32,VERSTAPPEN,31,,L1 (Crash),00:55.0,0.02969296
0,33,VERSTAPPEN,33,,L1 (Crash),00:55.0,0.02969296
0,34,VERSTAPPEN,34,,L1 (Crash),00:55.0,0.02969296
0,35,VERSTAPPEN,34,,L1 (Crash),00:55.0,0.02969296
0,36,VERSTAPPEN,34,,L1 (Crash),00:55.0,0.02969296
0,37,VERSTAPPEN,37,,L1 (Crash),00:55.0,0.02969296
0,38,VERSTAPPEN,39,,L1 (Crash),00:55.0,0.02969296
0,39,VERSTAPPEN,39,,L1 (Crash),00:55.0,0.02969296
0,40,VERSTAPPEN,41,,L1 (Crash),00:55.0,0.02969296
0,41,VERSTAPPEN,41,,L1 (Crash),00:55.0,0.02969296
0,42,VERSTAPPEN,43,,L1 (Crash),00:55.0,0.02969296
0,43,VERSTAPPEN,44,,L1 (Crash),00:55.0,0.02969296
0,44,VERSTAPPEN,44,,L1 (Crash),00:55.0,0.02969296
