Unnamed: 0,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,55,VERSTAPPEN,264,Sector 1,Practice 1,1:27.035,0.028558715
1,56,VERSTAPPEN,265,Sector 1,Practice 1,1:27.035,0.028558715
2,57,VERSTAPPEN,265,Sector 1,Practice 1,1:27.035,0.028558715
3,58,VERSTAPPEN,265,Sector 1,Practice 1,1:27.035,0.028558715
4,59,VERSTAPPEN,265,Sector 1,Practice 1,1:27.035,0.028558715
5,60,VERSTAPPEN,265,Sector 1,Practice 1,1:27.035,0.028558715
6,61,VERSTAPPEN,266,Sector 1,Practice 1,1:27.035,0.028558715
7,62,VERSTAPPEN,266,Sector 1,Practice 1,1:27.035,0.028558715
8,63,VERSTAPPEN,266,Sector 1,Practice 1,1:27.035,0.028558715
9,64,VERSTAPPEN,267,Sector 1,Practice 1,1:27.035,0.028558715
10,65,VERSTAPPEN,267,Sector 1,Practice 1,1:27.035,0.028558715
11,66,VERSTAPPEN,267,Sector 1,Practice 1,1:27.035,0.028558715
12,67,VERSTAPPEN,267,Sector 1,Practice 1,1:27.035,0.028558715
13,68,VERSTAPPEN,267,Sector 1,Practice 1,1:27.035,0.028558715
14,69,VERSTAPPEN,268,Sector 1,Practice 1,1:27.035,0.028558715
15,70,VERSTAPPEN,268,Sector 1,Practice 1,1:27.035,0.028558715
16,71,VERSTAPPEN,269,Sector 1,Practice 1,1:27.035,0.028558715
17,72,VERSTAPPEN,269,Sector 1,Practice 1,1:27.035,0.028558715
18,73,VERSTAPPEN,269,Sector 1,Practice 1,1:27.035,0.028558715
19,74,VERSTAPPEN,270,Sector 1,Practice 1,1:27.035,0.028558715
20,75,VERSTAPPEN,270,Sector 1,Practice 1,1:27.035,0.028558715
21,76,VERSTAPPEN,270,Sector 1,Practice 1,1:27.035,0.028558715
22,77,VERSTAPPEN,271,Sector 1,Practice 1,1:27.035,0.028558715
23,78,VERSTAPPEN,271,Sector 1,Practice 1,1:27.035,0.028558715
24,79,VERSTAPPEN,271,Sector 1,Practice 1,1:27.035,0.028558715
25,80,VERSTAPPEN,271,Sector 1,Practice 1,1:27.035,0.028558715
26,81,VERSTAPPEN,272,Sector 1,Practice 1,1:27.035,0.028558715
27,82,VERSTAPPEN,272,Sector 1,Practice 1,1:27.035,0.028558715
28,83,VERSTAPPEN,272,Sector 1,Practice 1,1:27.035,0.028558715
29,84,VERSTAPPEN,272,Sector 1,Practice 1,1:27.035,0.028558715
30,85,VERSTAPPEN,273,Sector 1,Practice 1,1:27.035,0.028558715
31,86,VERSTAPPEN,273,Sector 1,Practice 1,1:27.035,0.028558715
32,87,VERSTAPPEN,273,Sector 1,Practice 1,1:27.035,0.028558715
33,88,VERSTAPPEN,273,Sector 1,Practice 1,1:27.035,0.028558715
34,89,VERSTAPPEN,273,Sector 1,Practice 1,1:27.035,0.028558715
35,90,VERSTAPPEN,274,Sector 1,Practice 1,1:27.035,0.028558715
36,91,VERSTAPPEN,274,Sector 1,Practice 1,1:27.035,0.028558715
37,92,VERSTAPPEN,274,Sector 1,Practice 1,1:27.035,0.028558715
38,93,VERSTAPPEN,275,Sector 1,Practice 1,1:27.035,0.028558715
39,94,VERSTAPPEN,275,Sector 1,Practice 1,1:27.035,0.028558715
40,95,VERSTAPPEN,275,Sector 1,Practice 1,1:27.035,0.028558715
41,96,VERSTAPPEN,275,Sector 1,Practice 1,1:27.035,0.028558715
42,97,VERSTAPPEN,276,Sector 1,Practice 1,1:27.035,0.028558715
43,98,VERSTAPPEN,276,Sector 1,Practice 1,1:27.035,0.028558715
44,99,VERSTAPPEN,277,Sector 1,Practice 1,1:27.035,0.028558715
45,100,VERSTAPPEN,277,Sector 1,Practice 1,1:27.035,0.028558715
46,101,VERSTAPPEN,277,Sector 1,Practice 1,1:27.035,0.028558715
47,102,VERSTAPPEN,277,Sector 1,Practice 1,1:27.035,0.028558715
48,103,VERSTAPPEN,278,Sector 1,Practice 1,1:27.035,0.028558715
49,104,VERSTAPPEN,278,Sector 1,Practice 1,1:27.035,0.028558715
50,105,VERSTAPPEN,278,Sector 1,Practice 1,1:27.035,0.028558715
51,106,VERSTAPPEN,279,Sector 1,Practice 1,1:27.035,0.028558715
52,107,VERSTAPPEN,279,Sector 1,Practice 1,1:27.035,0.028558715
53,108,VERSTAPPEN,279,Sector 1,Practice 1,1:27.035,0.028558715
54,109,VERSTAPPEN,279,Sector 1,Practice 1,1:27.035,0.028558715
55,110,VERSTAPPEN,280,Sector 1,Practice 1,1:27.035,0.028558715
56,111,VERSTAPPEN,280,Sector 1,Practice 1,1:27.035,0.028558715
57,112,VERSTAPPEN,280,Sector 1,Practice 1,1:27.035,0.028558715
58,113,VERSTAPPEN,280,Sector 1,Practice 1,1:27.035,0.028558715
59,114,VERSTAPPEN,281,Sector 1,Practice 1,1:27.035,0.028558715
60,115,VERSTAPPEN,281,Sector 1,Practice 1,1:27.035,0.028558715
61,116,VERSTAPPEN,281,Sector 1,Practice 1,1:27.035,0.028558715
62,117,VERSTAPPEN,281,Sector 1,Practice 1,1:27.035,0.028558715
63,118,VERSTAPPEN,282,Sector 1,Practice 1,1:27.035,0.028558715
64,119,VERSTAPPEN,282,Sector 1,Practice 1,1:27.035,0.028558715
65,120,VERSTAPPEN,282,Sector 1,Practice 1,1:27.035,0.028558715
66,121,VERSTAPPEN,282,Sector 1,Practice 1,1:27.035,0.028558715
67,122,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
68,123,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
69,124,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
70,125,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
71,126,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
72,127,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
73,128,VERSTAPPEN,283,Sector 1,Practice 1,1:27.035,0.028558715
74,129,VERSTAPPEN,284,Sector 1,Practice 1,1:27.035,0.028558715
75,130,VERSTAPPEN,284,Sector 1,Practice 1,1:27.035,0.028558715
76,131,VERSTAPPEN,284,Sector 1,Practice 1,1:27.035,0.028558715
77,132,VERSTAPPEN,284,Sector 1,Practice 1,1:27.035,0.028558715
78,133,VERSTAPPEN,284,Sector 1,Practice 1,1:27.035,0.028558715
79,134,VERSTAPPEN,285,Sector 1,Practice 1,1:27.035,0.028558715
80,135,VERSTAPPEN,285,Sector 1,Practice 1,1:27.035,0.028558715
81,136,VERSTAPPEN,285,Sector 1,Practice 1,1:27.035,0.028558715
82,137,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
83,138,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
84,139,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
85,140,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
86,141,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
87,142,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
88,143,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
89,144,VERSTAPPEN,286,Sector 1,Practice 1,1:27.035,0.028558715
90,145,VERSTAPPEN,287,Sector 1,Practice 1,1:27.035,0.028558715
91,146,VERSTAPPEN,287,Sector 1,Practice 1,1:27.035,0.028558715
92,147,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
93,148,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
94,149,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
95,150,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
96,151,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
97,152,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
98,153,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
99,154,VERSTAPPEN,288,Sector 1,Practice 1,1:27.035,0.028558715
100,155,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
101,156,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
102,157,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
103,158,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
104,159,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
105,160,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
106,161,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
107,162,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
108,163,VERSTAPPEN,289,Sector 1,Practice 1,1:27.035,0.028558715
109,164,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
110,165,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
111,166,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
112,167,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
113,168,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
114,169,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
115,170,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
116,171,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
117,172,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
118,173,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
119,174,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
120,175,VERSTAPPEN,290,Sector 1,Practice 1,1:27.035,0.028558715
121,176,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
122,177,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
123,178,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
124,179,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
125,180,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
126,181,VERSTAPPEN,291,Sector 1,Practice 1,1:27.035,0.028558715
127,182,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
128,183,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
129,184,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
130,185,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
131,186,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
132,187,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
133,188,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
134,189,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
135,190,VERSTAPPEN,292,Sector 1,Practice 1,1:27.035,0.028558715
136,191,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
137,192,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
138,193,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
139,194,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
140,195,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
141,196,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
142,197,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
143,198,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
144,199,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
145,200,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
146,201,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
147,202,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
148,203,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
149,204,VERSTAPPEN,293,Sector 1,Practice 1,1:27.035,0.028558715
150,205,VERSTAPPEN,294,Sector 1,Practice 1,1:27.035,0.028558715
151,206,VERSTAPPEN,294,Sector 1,Practice 1,1:27.035,0.028558715
152,207,VERSTAPPEN,294,Sector 1,Practice 1,1:27.035,0.028558715
