,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,56,VERSTAPPEN,269,,Q2,1:15.650,0.030241854636591476
0,57,VERSTAPPEN,270,,Q2,1:15.650,0.030241854636591476
0,58,VERSTAPPEN,270,,Q2,1:15.650,0.030241854636591476
0,59,VERSTAPPEN,270,,Q2,1:15.650,0.030241854636591476
0,60,VERSTAPPEN,271,,Q2,1:15.650,0.030241854636591476
0,61,VERSTAPPEN,271,,Q2,1:15.650,0.030241854636591476
0,62,VERSTAPPEN,272,,Q2,1:15.650,0.030241854636591476
0,63,VERSTAPPEN,272,,Q2,1:15.650,0.030241854636591476
0,64,VERSTAPPEN,272,,Q2,1:15.650,0.030241854636591476
0,65,VERSTAPPEN,273,,Q2,1:15.650,0.030241854636591476
0,66,VERSTAPPEN,274,,Q2,1:15.650,0.030241854636591476
0,67,VERSTAPPEN,274,,Q2,1:15.650,0.030241854636591476
0,68,VERSTAPPEN,274,,Q2,1:15.650,0.030241854636591476
0,69,VERSTAPPEN,275,,Q2,1:15.650,0.030241854636591476
0,70,VERSTAPPEN,275,,Q2,1:15.650,0.030241854636591476
0,71,VERSTAPPEN,276,,Q2,1:15.650,0.030241854636591476
0,72,VERSTAPPEN,276,,Q2,1:15.650,0.030241854636591476
0,73,VERSTAPPEN,277,,Q2,1:15.650,0.030241854636591476
0,74,VERSTAPPEN,277,,Q2,1:15.650,0.030241854636591476
0,75,VERSTAPPEN,277,,Q2,1:15.650,0.030241854636591476
0,76,VERSTAPPEN,278,,Q2,1:15.650,0.030241854636591476
0,77,VERSTAPPEN,278,,Q2,1:15.650,0.030241854636591476
0,78,VERSTAPPEN,279,,Q2,1:15.650,0.030241854636591476
0,79,VERSTAPPEN,279,,Q2,1:15.650,0.030241854636591476
0,80,VERSTAPPEN,280,,Q2,1:15.650,0.030241854636591476
0,81,VERSTAPPEN,280,,Q2,1:15.650,0.030241854636591476
0,82,VERSTAPPEN,280,,Q2,1:15.650,0.030241854636591476
0,83,VERSTAPPEN,280,,Q2,1:15.650,0.030241854636591476
0,84,VERSTAPPEN,281,,Q2,1:15.650,0.030241854636591476
0,85,VERSTAPPEN,281,,Q2,1:15.650,0.030241854636591476
0,86,VERSTAPPEN,281,,Q2,1:15.650,0.030241854636591476
0,87,VERSTAPPEN,282,,Q2,1:15.650,0.030241854636591476
0,88,VERSTAPPEN,282,,Q2,1:15.650,0.030241854636591476
0,89,VERSTAPPEN,283,,Q2,1:15.650,0.030241854636591476
0,90,VERSTAPPEN,283,,Q2,1:15.650,0.030241854636591476
0,91,VERSTAPPEN,283,,Q2,1:15.650,0.030241854636591476
0,92,VERSTAPPEN,284,,Q2,1:15.650,0.030241854636591476
0,93,VERSTAPPEN,284,,Q2,1:15.650,0.030241854636591476
0,94,VERSTAPPEN,284,,Q2,1:15.650,0.030241854636591476
0,95,VERSTAPPEN,284,,Q2,1:15.650,0.030241854636591476
0,96,VERSTAPPEN,285,,Q2,1:15.650,0.030241854636591476
0,97,VERSTAPPEN,285,,Q2,1:15.650,0.030241854636591476
0,98,VERSTAPPEN,285,,Q2,1:15.650,0.030241854636591476
0,99,VERSTAPPEN,286,,Q2,1:15.650,0.030241854636591476
0,100,VERSTAPPEN,286,,Q2,1:15.650,0.030241854636591476
0,101,VERSTAPPEN,286,,Q2,1:15.650,0.030241854636591476
0,102,VERSTAPPEN,286,,Q2,1:15.650,0.030241854636591476
0,103,VERSTAPPEN,286,,Q2,1:15.650,0.030241854636591476
0,104,VERSTAPPEN,287,,Q2,1:15.650,0.030241854636591476
0,105,VERSTAPPEN,288,,Q2,1:15.650,0.030241854636591476
0,106,VERSTAPPEN,288,,Q2,1:15.650,0.030241854636591476
0,107,VERSTAPPEN,289,,Q2,1:15.650,0.030241854636591476
0,108,VERSTAPPEN,289,,Q2,1:15.650,0.030241854636591476
0,109,VERSTAPPEN,289,,Q2,1:15.650,0.030241854636591476
0,110,VERSTAPPEN,289,,Q2,1:15.650,0.030241854636591476
0,111,VERSTAPPEN,289,,Q2,1:15.650,0.030241854636591476
0,112,VERSTAPPEN,290,,Q2,1:15.650,0.030241854636591476
0,113,VERSTAPPEN,290,,Q2,1:15.650,0.030241854636591476
0,114,VERSTAPPEN,290,,Q2,1:15.650,0.030241854636591476
0,115,VERSTAPPEN,290,,Q2,1:15.650,0.030241854636591476
0,116,VERSTAPPEN,291,,Q2,1:15.650,0.030241854636591476
0,117,VERSTAPPEN,291,,Q2,1:15.650,0.030241854636591476
